"구분별(1)",구분별(2),2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),주거환경,경제환경,사회환경,교육환경,주거환경,경제환경,사회환경,교육환경,주거환경,경제환경,사회환경,교육환경,주거환경,경제환경,사회환경,교육환경,주거환경,경제환경,사회환경,교육환경,주거환경,경제환경,사회환경,교육환경,주거환경,경제환경,사회환경,교육환경,주거환경,경제환경,사회환경,교육환경,종합,주거환경,경제환경,사회환경,교육환경,종합,주거환경,경제환경,사회환경,교육환경,종합,주거환경,경제환경,사회환경,교육환경
"서울시",소계,6.44,5.58,6.13,5.82,6.13,5.26,5.69,5.41,6.16,5.30,5.71,5.43,6.17,5.31,5.71,5.44,6.19,5.35,5.75,5.45,6.24,5.43,5.81,5.57,6.39,5.50,6.00,5.71,6.36,5.35,5.99,5.69,5.93,6.41,5.50,6.07,5.74,6.58,7.20,6.41,6.52,6.20,6.41,6.89,6.15,6.32,6.27
"성별",남성,6.45,5.61,6.15,5.83,6.17,5.36,5.72,5.45,6.17,5.36,5.73,5.46,6.21,5.37,5.75,5.47,6.23,5.44,5.79,5.48,6.27,5.49,5.81,5.59,6.39,5.57,6.00,5.73,6.41,5.41,6.00,5.71,5.99,6.44,5.64,6.12,5.75,6.62,7.20,6.49,6.56,6.22,6.45,6.91,6.21,6.38,6.32
"성별",여성,6.40,5.47,6.04,5.80,6.00,4.89,5.59,5.29,6.10,5.03,5.60,5.30,6.03,5.10,5.58,5.33,6.06,5.10,5.65,5.36,6.16,5.28,5.79,5.52,6.39,5.34,6.02,5.67,6.26,5.22,5.98,5.66,5.81,6.34,5.21,5.99,5.70,6.50,7.18,6.22,6.42,6.17,6.29,6.84,6.02,6.18,6.12
"연령별",20대 이하,6.30,5.47,5.99,5.61,5.60,5.02,5.50,5.23,5.98,5.19,5.43,5.17,5.97,5.33,5.61,5.31,6.08,5.37,5.84,5.56,6.15,5.02,5.95,5.57,6.48,5.13,6.00,5.73,6.03,5.02,5.91,5.59,5.75,6.16,5.16,6.05,5.64,6.34,7.07,6.14,6.26,5.91,6.22,6.78,5.85,6.26,6.00
"연령별",30대,6.36,5.61,6.09,5.69,6.06,5.38,5.62,5.46,6.08,5.28,5.64,5.47,6.02,5.25,5.55,5.34,6.17,5.51,5.74,5.46,6.22,5.51,5.95,5.60,6.33,5.62,5.99,5.73,5.99,5.00,5.67,5.51,5.75,6.18,5.30,5.95,5.57,6.56,7.05,6.47,6.44,6.29,6.43,6.90,6.18,6.36,6.27
"연령별",40대,6.48,5.53,6.28,5.90,6.20,5.26,5.75,5.37,6.22,5.29,5.82,5.45,6.23,5.31,5.76,5.41,6.25,5.41,5.74,5.40,6.30,5.49,5.88,5.58,6.33,5.56,5.95,5.72,6.17,5.01,5.81,5.48,5.81,6.28,5.41,5.98,5.58,6.75,7.36,6.62,6.66,6.37,6.57,6.98,6.37,6.47,6.49
"연령별",50대,6.55,5.71,6.20,5.98,6.24,5.40,5.78,5.46,6.27,5.46,5.82,5.48,6.24,5.45,5.85,5.56,6.24,5.45,5.75,5.48,6.33,5.50,5.84,5.60,6.35,5.60,5.97,5.65,6.42,5.41,6.00,5.70,5.98,6.50,5.53,6.14,5.76,6.61,7.22,6.48,6.55,6.19,6.37,6.80,6.16,6.28,6.23
"연령별",60대 이상,6.39,5.51,5.97,5.78,6.20,5.10,5.69,5.43,6.12,5.21,5.66,5.41,6.24,5.21,5.71,5.47,6.16,5.14,5.75,5.43,6.20,5.41,5.64,5.53,6.45,5.45,6.05,5.73,6.74,5.82,6.31,5.96,6.15,6.67,5.75,6.20,5.97,6.52,7.18,6.27,6.51,6.12,6.35,6.89,6.06,6.25,6.20
