2022년,서울 종로,서울 중구,서울 용산,서울 성동,서울 광진,서울 동대문,서울 중랑,서울 성북,서울 강북,서울 도봉,서울 노원,서울 은평,서울 서대문,서울 마포,서울 양천,서울 강서,서울 구로,서울 금천,서울 영등포,서울 동작,서울 관악,서울 서초,서울 강남,서울 송파,서울 강동,부산 중구,부산 서구,부산 동구,부산 영도,부산 부산진,부산 동래,부산 남구,부산 북구,부산 해운대,부산 사하,부산 금정,부산 강서,부산 연제,부산 수영,부산 사상,부산 기장군,대구 중구,대구 동구,대구 서구,대구 남구,대구 북구,대구 수성,대구 달서,대구 달성군,인천 중구,인천 동구,인천 서구,인천 미추홀,인천 연수,인천 남동,인천 부평,인천 계양,인천 강화군,인천 옹진군,광주 동구,광주 서구,광주 남구,광주 북구,광주 광산,대전 중구,대전 동구,대전 서구,대전 유성,대전 대덕,울산 중구,울산 동구,울산 남구,울산 북구,울산 울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,1318,1376,986,983,1669,1561,1508,1139,876,968,1503,1493,1111,1458,1482,1997,1566,1115,2062,1199,1971,1920,2520,2215,1672,615,552,587,367,2355,909,658,1080,1553,831,818,418,695,680,997,629,1223,1150,1279,699,1531,1166,2030,748,521,147,1313,1478,1220,1315,1970,747,173,18,610,1124,560,1614,1303,1044,1259,1873,1313,550,665,493,996,583,556,3425,4711,3055,2192,1596,3442,3430,934,2510,2864,2114,2490,2250,1289,1235,971,884,1750,3076,810,857,1253,2348,1209,2758,967,753,1423,633,758,448,1016,1264,795,493,546,2727,1861,1208,1160,741,480,520,384,387,16499,9521
장물,5,1,2,0,0,0,0,0,2,0,1,2,1,3,1,8,3,0,1,0,2,2,7,2,3,2,1,0,3,7,1,3,2,3,0,1,1,1,2,2,1,1,4,1,1,2,4,0,1,2,0,7,4,3,2,4,3,0,0,2,1,0,0,2,2,3,1,1,1,1,0,5,1,1,8,17,3,2,0,6,1,3,3,2,0,3,1,2,1,1,0,1,5,1,0,1,2,1,2,2,1,4,3,1,0,0,1,1,0,0,2,0,3,2,3,0,0,0,0,20,11
사기,1510,1724,1249,1616,1886,1716,1552,1200,1665,1218,2030,1801,1180,1640,1373,2670,1887,1861,2810,1251,2934,3551,7162,3595,1769,604,881,1002,595,3821,1841,2171,2136,2566,1956,1760,1335,2076,709,2342,1390,1194,2605,930,913,2241,2240,3703,1175,1100,189,2951,3329,1978,3011,2524,1358,259,60,732,2301,821,2138,2365,2159,1589,4616,2320,1106,1046,626,2229,814,1014,5643,6648,4217,4215,2335,5733,7254,1474,3224,4110,2600,5225,4033,1729,3171,2203,2134,3180,5446,1702,1592,2467,4388,1513,3312,1553,1213,3042,1065,1327,846,1449,1434,1524,605,584,3992,3136,3193,2078,1279,768,968,610,802,54151,16520
횡령,838,725,595,497,710,624,473,456,278,284,668,499,452,890,443,621,584,426,952,552,781,938,1815,1100,477,157,102,191,92,858,328,345,197,457,331,265,175,324,271,262,174,391,500,201,273,392,375,428,159,351,58,821,728,477,688,739,278,64,10,234,451,151,472,382,375,239,428,265,168,138,120,306,106,116,1170,1464,1034,507,682,713,1081,321,312,740,236,1760,653,247,731,209,202,295,807,262,182,269,619,302,443,228,200,703,209,141,84,354,260,190,121,57,785,578,655,266,203,268,130,81,67,6278,2164
배임,27,44,32,31,17,33,8,18,11,19,19,36,21,93,27,33,20,37,61,21,22,97,210,74,18,15,21,22,10,31,13,18,14,54,14,13,13,16,18,12,15,24,16,14,3,16,41,24,11,15,3,43,18,32,42,32,13,1,1,15,33,26,30,19,22,6,43,43,7,15,12,37,6,32,30,60,58,32,36,46,72,17,27,53,20,63,57,19,23,23,19,25,60,29,14,25,55,20,40,22,9,59,18,7,10,11,25,12,13,11,77,27,48,20,9,14,16,6,9,671,304
손괴,335,369,403,219,401,363,442,286,300,229,567,438,262,516,406,479,430,270,544,337,576,401,768,549,400,132,106,144,108,644,237,237,229,391,328,216,115,214,226,259,153,257,363,309,219,467,359,538,209,203,47,592,459,317,447,627,291,99,20,130,328,198,432,370,278,326,551,367,180,161,160,392,181,191,1175,1607,957,557,556,1036,1096,338,529,1105,387,862,885,237,587,229,282,435,797,355,327,467,937,302,549,350,252,566,253,251,199,390,312,283,154,114,793,788,521,302,323,185,234,139,119,6113,3500
살인,1,2,5,2,6,4,2,2,7,3,3,4,4,2,8,4,12,2,5,3,9,3,12,2,5,0,3,1,3,7,1,3,3,4,6,5,5,1,2,6,3,5,4,1,1,6,5,6,3,5,1,9,12,3,9,6,4,3,2,0,0,0,0,3,10,2,1,3,3,2,0,5,3,5,10,13,12,10,5,15,16,4,7,11,6,14,7,4,7,4,7,6,17,5,4,4,8,1,8,4,2,8,5,2,2,1,10,4,2,2,13,8,4,5,5,2,6,2,1,94,64
강도,8,5,7,2,0,2,2,1,5,0,3,9,2,2,3,7,8,3,10,5,9,4,12,6,5,5,1,3,1,5,1,3,2,9,4,5,1,2,1,1,1,3,8,2,6,9,1,3,0,2,1,4,9,1,6,5,2,0,0,2,2,3,2,1,3,7,4,2,1,2,0,6,1,1,12,8,13,3,3,19,12,4,5,9,0,4,4,2,4,3,2,3,12,0,4,1,6,1,4,7,0,6,2,0,0,2,3,3,0,0,1,8,3,0,0,1,5,2,0,56,31
방화,7,13,10,8,6,5,11,5,6,4,15,7,9,5,4,7,14,7,15,4,8,13,13,9,7,1,4,3,7,12,4,3,7,13,11,6,1,5,7,3,3,4,13,5,0,4,3,18,2,4,0,19,11,6,12,11,6,1,0,2,4,10,9,10,6,9,12,11,1,4,3,12,5,3,26,27,11,20,12,22,24,2,14,27,10,19,19,7,6,5,9,15,8,8,9,7,22,5,13,6,6,11,4,4,10,4,6,2,6,2,16,11,8,4,3,3,6,3,2,127,111
성폭력,329,316,411,251,388,246,266,290,302,180,359,318,265,717,223,486,438,254,493,363,601,675,1046,580,286,76,63,91,52,487,237,161,145,344,170,183,91,169,181,194,128,243,250,103,118,294,264,351,227,176,58,441,411,324,465,514,197,40,13,120,289,138,262,260,228,222,486,268,136,125,90,317,112,168,735,1097,749,547,383,660,619,217,344,646,234,717,451,215,416,155,177,277,598,153,211,244,493,138,306,190,184,409,170,154,99,208,228,153,67,58,537,375,370,203,147,125,116,90,53,4201,1949
