"시점",출생아수 (명),사망자수 (명),혼인건수 (건),이혼건수 (건)
"2001. 01",11961,3305,6242,1940
"2001. 02",10159,3030,5454,2358
"2001. 03",10971,3397,6751,2630
"2001. 04",9950,3355,6825,2452
"2001. 05",9649,3227,8221,2591
"2001. 06",8371,2992,6667,2426
"2001. 07",8597,3192,5223,2517
"2001. 08",9164,3041,4992,2675
"2001. 09",9317,3052,4337,2368
"2001. 10",9215,3305,5378,2371
"2001. 11",8842,3259,7705,2307
"2001. 12",8568,3300,9581,2327
"2002. 01",10107,3280,6309,2462
"2002. 02",9054,2946,4818,2058
"2002. 03",9807,3365,6116,2493
"2002. 04",8875,3300,6151,2411
"2002. 05",8685,3119,7546,2598
"2002. 06",7737,2962,6082,2235
"2002. 07",8336,3135,5476,2475
"2002. 08",8161,3034,4833,2812
"2002. 09",8004,3051,4041,2407
"2002. 10",8064,3296,5633,2651
"2002. 11",7818,3568,7219,2334
"2002. 12",7360,3869,8472,2415
"2003. 01",9304,3386,5708,2648
"2003. 02",8693,2962,5103,2753
"2003. 03",9181,3197,5868,2923
"2003. 04",8581,3119,5897,2869
"2003. 05",8541,3176,7118,2831
"2003. 06",7618,2950,6132,2859
"2003. 07",7769,3054,5580,2944
"2003. 08",7677,3049,4814,2859
"2003. 09",8360,3082,4040,2567
"2003. 10",9001,3374,6130,2661
"2003. 11",8413,3283,7074,2180
"2003. 12",8089,3436,9286,2405
"2004. 01",9618,3270,5687,2055
"2004. 02",8529,3145,5205,2421
"2004. 03",9278,3450,6250,2554
"2004. 04",8564,3230,5274,2246
"2004. 05",8086,3239,6200,2254
"2004. 06",7608,2971,6293,2494
"2004. 07",7965,3035,4764,2297
"2004. 08",7970,3262,4993,2277
"2004. 09",8238,3015,3962,1874
"2004. 10",8686,3329,5396,2272
"2004. 11",7934,3132,6963,2117
"2004. 12",7352,3196,10566,2133
"2005. 01",8701,3483,5144,2041
"2005. 02",7462,2948,4401,1919
"2005. 03",8513,3532,5796,2272
"2005. 04",7526,3363,5679,1957
"2005. 05",7431,3385,6321,2103
"2005. 06",6763,2947,6226,2055
"2005. 07",7102,3173,5102,2145
"2005. 08",7382,3047,5606,2491
"2005. 09",7700,2943,4430,2154
"2005. 10",7701,3252,5409,2144
"2005. 11",7395,3290,7372,2044
"2005. 12",6792,3388,9800,1975
"2006. 01",8349,3373,5672,1963
"2006. 02",7792,2973,4797,2116
"2006. 03",8680,3300,5889,2174
"2006. 04",7897,3173,5362,2015
"2006. 05",7779,3188,7079,2000
"2006. 06",7354,3036,6500,2204
"2006. 07",7149,3127,5054,1997
"2006. 08",7759,3269,5984,2081
"2006. 09",7913,3165,4335,2087
"2006. 10",8050,3202,5279,1793
"2006. 11",7754,3309,7508,1958
"2006. 12",7446,3404,10465,1966
"2007. 01",9069,3608,6855,2084
"2007. 02",8052,3064,5994,2023
"2007. 03",8879,3384,5816,2027
"2007. 04",8350,3228,5775,2054
"2007. 05",8049,3262,7167,2129
"2007. 06",7605,2979,6012,1927
"2007. 07",8119,3136,5702,2075
"2007. 08",8813,3117,5982,2185
"2007. 09",9153,3105,4292,1720
"2007. 10",9265,3408,6141,2272
"2007. 11",8465,3253,7277,2206
