공원명,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
남산공원,198364.107,450395.554,126.9903773,37.5501402
길동생태공원,213554.12,448852.675,127.1547791,37.5403935
서울대공원,200994.267,437163.981,127.0198465,37.4264494
서울숲,203695.432,449290.726,127.0417982,37.5430717
월드컵공원,190658.07,451598.831,126.878907,37.571805
광화문시민열린마당,198054.179,452832.049,126.9780227,37.5750449
진관근린공원(구파발폭포),192864.424,459694.746,126.9192155,37.6370244
중마루근린공원,192162.09,446711.963,126.9112668,37.519832
응봉공원(대현산배수지공원),201884.862,450829.348,127.0217653,37.5572281
매화근린공원,187712.085,450892.604,126.86115,37.5575833
성수근린공원,204637.837,449470.206,127.0524023,37.5448144
샛마을근린공원,212935.156,450185.001,127.1471618,37.5504807
여의도근린공원,193224.42,447495.851,126.922377,37.526129
간데메근린공원,204339.82,452584.376,127.0488644,37.5732438
훈련원근린공원,200301.274,451995.862,127.0038188,37.5675245
영등포근린공원,192126.06,446207.767,126.910662,37.515423
보라매근린공원,192880.784,443935.417,126.918289,37.492333
어린이대공원,207108.865,449977.62,127.0809212,37.5498987
천호근린공원,211094.883,449373.595,127.1263451,37.5444741
용산가족공원,198680.6,446756.9,126.983335,37.522226
독립근린공원,196318.22,452589.144,126.956771,37.5738289
낙산근린공원,200631.301,453432.556,127.007587,37.580477
매헌시민의숲,203226.694,441171.435,127.035042,37.471225
관악산공원,196801.464,438408.982,126.96413,37.445208
효창근린공원,196484.925,449520.541,126.95993,37.545234
감로천생태공원(관악산),191868.836,440976.325,126.9079509,37.469625
개운산근린공원,202301.921,455244.032,127.0252858,37.5965837
개웅산근린공원,186361.511,443134.517,126.8485734,37.4888943
경희궁,197240.742,452357.669,126.9685341,37.570773
국립현충원,197554.306,444488.109,126.9736849,37.4998621
계남근린공원,186587.03,445953.762,126.8479643,37.5138358
고척근린공원,186938.035,445175.775,126.8521495,37.5042944
파리근린공원,189117.778,448369.561,126.8763932,37.5349739
허준공원,187079.658,452015.939,126.8526745,37.5679874
궁동근린공원,193388.45,452419.784,126.9229851,37.5690506
