학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,적재일시
고등학교,공립,7011575.0,서울반도체고등학교,Seoul Semiconductor high school,서울특별시교육청,2511,서울특별시 동대문구 겸재로 21,", 서울반도체고등학교 (휘경동)",02-2230-9885,https://ssc.sen.hs.kr/,02-2216-3646,남여공학,특성화고,N,전문계,,전기,주간,19971220,19980702,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011569.0,미림마이스터고등학교,Mirim Meister High School,서울특별시교육청,8821,서울특별시 관악구 호암로 546,미림마이스터고등학교,02-872-4071,http://www.e-mirim.hs.kr,02-887-0856,남여공학,특목고,N,전문계,산업수요 맞춤형 고등학교,전기,주간,19910301,19910531,B10,서울특별시교육청,서울특별시,20240310
고등학교,사립,7011568.0,염광메디텍고등학교,Yumkwang Meditech High School,서울특별시교육청,1874,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)",02-994-3105,http://ykm.sen.hs.kr,02-903-2813,남여공학,특성화고,N,전문계,,전기,주간,19680301,19680301,B10,서울특별시교육청,서울특별시,20240303
고등학교,공립,7011558.0,서울웹툰애니메이션고등학교,Seoul Webtoon Animation High School,서울특별시교육청,6761,서울특별시 서초구 과천대로 852-23,(방배동),02-6011-4100,https://swas.sen.hs.kr,02-597-9693,남여공학,특성화고,N,전문계,,전기,주간,19940105,19940506,B10,서울특별시교육청,서울특별시,20230615
고등학교,공립,7011540.0,솔샘고등학교,Solsaem High School,서울특별시교육청,1190,서울특별시 강북구 인수봉로 39,/ 솔샘고등학교,02-982-6104,http://solsaem.sen.hs.kr,02-982-6106,남여공학,자율고,N,일반계,,후기,주간,20090301,20090610,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011539.0,서울동구고등학교,SEOUL DONGGOO HIGH SCHOOL,서울특별시교육청,2834,서울특별시 성북구 성북로8길 71,/ 동구마케팅고등학교 (성북동),02-762-1301,donggoo.sen.hs.kr,02-747-6525,남여공학,특성화고,N,전문계,,전기,주간,19420617,19420617,B10,서울특별시교육청,서울특별시,20240324
고등학교,사립,7011513.0,서울정화고등학교,Seoul Jeonghwa High School,서울특별시교육청,2480,서울특별시 동대문구 홍릉로15길 50,(제기동)정화여자상업고등학교,02-960-1495,http://jeonghwa.sen.hs.kr,02-965-9155,여,특성화고,N,전문계,,전기,주간,19080901,19080901,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011508.0,선일빅데이터고등학교,SUNIL BIGDATA HIGHSCHOOL,서울특별시교육청,3322,서울특별시 은평구 갈현로29길 27,/ 선일빅데이터고등학교 (갈현동),02-355-5648,https://bigdata.sen.hs.kr/,02-354-0935,여,특성화고,N,전문계,,전기,주간,19850108,19850311,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011507.0,대경생활과학고등학교,Daekyeong Life Science High School,서울특별시교육청,4592,서울특별시 중구 매봉18길 111,(신당동),02-2235-5155,http://daekyeong.sen.hs.kr,02-2237-9142,남여공학,특성화고,N,전문계,,전기,주간,19560228,19560416,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011506.0,서울매그넷고등학교,Seoul Magnet High School,서울특별시교육청,8656,서울특별시 금천구 탑골로10길 45,(시흥동/ 동일여자상업고등학교),02-807-6333,seoulmagnet.sen.hs.kr,02-804-9040,여,특성화고,N,전문계,,전기,주간,19870112,19870303,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011505.0,광운인공지능고등학교,Kwangwoon Artificial Intelligence High School,서울특별시교육청,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),02-918-7761,http://kwangwoon.sen.hs.kr,02-917-5091,남여공학,특성화고,N,전문계,,전기,주간,19340520,19340520,B10,서울특별시교육청,서울특별시,20231001
고등학교,공립,7011498.0,서울인공지능고등학교,SEOUL ARTIFICIAL INTELLIGENCE HIGHSCHOOL,서울특별시교육청,5771,서울특별시 송파구 양산로 21,(거여동),02-6711-0508/0595,https://seoulai.sen.hs.kr,02-6711-0599,남여공학,특성화고,N,전문계,,전기,주간,19910301,19910301,B10,서울특별시교육청,서울특별시,20230615
고등학교,공립,7011495.0,용산철도고등학교,Yongsan Railroad High School,서울특별시교육청,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),02-6905-7777,https://yongsan-th.sen.hs.kr,02-6905-7890,남여공학,특성화고,N,전문계,,전기,주간,19630518,19630518,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011494.0,서울동산고등학교,Seoul Dongsan High School,서울특별시교육청,1832,서울특별시 노원구 공릉로 257,(공릉동),02-971-0903,http://seouldongsan.sen.hs.kr,02-973-3052,남여공학,특성화고,N,전문계,,전기,주간,19680302,19680429,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011493.0,인덕과학기술고등학교,Induk Science and Technology High School,서울특별시교육청,1878,서울특별시 노원구 초안산로 12,/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교),02-902-2060,http://induk.sen.hs.kr,02-996-9278,남여공학,특성화고,N,전문계,,전기,주간,19631214,19631214,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011492.0,서울신정고등학교,Seoul Shinjeong High School,서울특별시교육청,7736,서울특별시 강서구 등촌로13아길 20,(화곡동/ 서울신정고등학교),02-2644-3543,http://shinjeong.sen.hs.kr,02-2644-0021,여,특성화고,N,전문계,,전기,주간,19780130,19780130,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011491.0,서일문화예술고등학교,SEOIL CULTURE  ARTS HIGH SCHOOL,서울특별시교육청,3094,서울특별시 종로구 지봉로17길 49,(창신동),02-763-5863,http://seoil.sen.hs.kr,02-765-8573,남여공학,특성화고,N,전문계,,전기,주간,19661208,19690715,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011490.0,동명생활경영고등학교,Dongmyung Career and Business High School,서울특별시교육청,3390,서울특별시 은평구 통일로 793,(대조동),02-383-2628,http://dmgcab.sen.hs.kr/,02-389-5011,여,특성화고,N,전문계,,전기,주간,19210603,19210603,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011489.0,단국대학교부속소프트웨어고등학교,Dankook University Software High School,서울특별시교육청,6278,서울특별시 강남구 도곡로64길 21,(대치동 1013),02-2116-0115,http://dankook.sen.hs.kr,02-2116-0176,남,특성화고,N,전문계,,전기,주간,19410525,19501103,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011488.0,광신방송예술고등학교,KWANGSHIN BROADCASTING ARTS HIGH SCHOOL,서울특별시교육청,8847,서울특별시 관악구 광신길 141,(신림동/ 광신방송예술고등학교),02-881-8612,http://ksmedia.sen.hs.kr,02-881-8637,남여공학,특성화고,N,전문계,,전기,주간,19051010,19051010,B10,서울특별시교육청,서울특별시,20230629
고등학교,사립,7011487.0,고명외식고등학교,Komyung Food Service High School,서울특별시교육청,2828,서울특별시 성북구 북악산로 870,(돈암동),02-928-8366,http://komyung.sen.hs.kr,02-924-6059,남여공학,특성화고,N,전문계,,전기,주간,19560221,19500520,B10,서울특별시교육청,서울특별시,20240324
고등학교,사립,7011486.0,서울의료보건고등학교,Seoul Medical Healthcare High School,서울특별시교육청,4502,서울특별시 중구 만리재로37길 30,(만리동1가),02-392-6666,http://smh.sen.hs.kr,02-392-2233,여,특성화고,N,전문계,,전기,주간,19710531,19921002,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011482.0,영락의료과학고등학교,YOUNGNAK MEDICAL-SCIENCE HIGH SCHOOL,서울특별시교육청,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),02-884-1004,http://youngnak-c.sen.hs.kr,02-876-2708,남여공학,특성화고,N,전문계,,전기,주간,19520610,19590409,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011457.0,풍문고등학교,Poongmoon High School,서울특별시교육청,6373,서울특별시 강남구 자곡로 152,(자곡동),02-3451-8800,http://poongmoon.sen.hs.kr,02-732-4536,남여공학,일반고,N,일반계,,후기,주간,19440410,19440410,B10,서울특별시교육청,서울특별시,20230615
고등학교,공립,7011319.0,금호고등학교,GeumhoHighSchool,서울특별시교육청,4727,서울특별시 성동구 금호로 118,(금호동1가),02-2022-0800,http://geumho.sen.hs.kr,02-2022-0840,남여공학,일반고,N,일반계,,전기,주간,20170301,20170522,B10,서울특별시교육청,서울특별시,20230615
고등학교,공립,7011318.0,도선고등학교,DOSUN HIGH SCHOOL,서울특별시교육청,4701,서울특별시 성동구 마장로 156,(하왕십리동),02-2292-8175,http://dosun.sen.hs.kr,02-2292-7556,남여공학,일반고,N,일반계,,전기,주간,20170301,20170524,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011316.0,신진과학기술고등학교,SHINJIN SCIENCE TECHNOLOGY HIGH SCHOOL,서울특별시교육청,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),02-385-3451,http://shinjin.sen.hs.kr,02-383-3481,남여공학,특성화고,N,전문계,,전기,주간,19700130,19700316,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011315.0,선정국제관광고등학교,Sunjung International Tourism High School,서울특별시교육청,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),02-3156-1600,http://sjt.sen.hs.kr,02-352-5073,남여공학,특성화고,N,전문계,,전기,주간,19941005,19500522,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011312.0,계성고등학교,Gyeseong High School,서울특별시교육청,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),02-728-6100,gyeseong.sen.hs.kr,02-776-7086,남여공학,일반고,N,일반계,,후기,주간,19440908,19440908,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011311.0,서울항공비즈니스고등학교,SEOUL AERO BUSINESS HIGH SCHOOL,서울특별시교육청,7597,서울특별시 강서구 방화대로34길 13,(방화동),02-2665-5900,http://sab.sen.hs.kr,02-2666-0065,남여공학,특성화고,N,전문계,,전기,주간,19870109,19870605,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011213.0,서울컨벤션고등학교,SEOUL CONVENTION HIGH SCHOOL,서울특별시교육청,5225,서울특별시 강동구 동남로 964,/ 서울컨벤션고등학교 (고덕동),02-3427-7400,http://seoul-chs.sen.hs.kr,02-3427-7711,남여공학,특성화고,N,전문계,,전기,주간,19611215,19611215,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011186.0,대일관광고등학교,Daeil Tourism High School,서울특별시교육청,8051,서울특별시 양천구 신정이펜1로 11,/ 대일관광고등학교 (신정동/ 대일관광고등학교),070-4377-8871,http://daeil-tour.sen.hs.kr,02-2603-7361,여,특성화고,N,전문계,,전기,주간,19800926,19800926,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7011184.0,예림디자인고등학교,Yerim Design High School,서울특별시교육청,8248,서울특별시 구로구 오리로21길 2,(궁동/예림디자인고등학교),02-2617-2333,http://yerim.sen.hs.kr,02-2615-5415,여,특성화고,N,전문계,,전기,주간,19651205,20211205,B10,서울특별시교육청,서울특별시,20230615
고등학교,공립,7011180.0,서울도시과학기술고등학교,Seoul Urban Science Technical High School,서울특별시교육청,2736,서울특별시 성북구 종암로 196,(하월곡동/서울도시과학기술고등학교),02-940-2500,http://www.sust.hs.kr,02-940-2508,남여공학,특목고,N,전문계,산업수요 맞춤형 고등학교,전기,주간,19640108,19640108,B10,서울특별시교육청,서울특별시,20230615
