no,address,latitude,longitude
가산기대찬의원,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",37.4803938924495,126.884121140151
365엠씨의원,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",37.5166049160019,127.021810432013
(의)가산의료재단광동병원,서울특별시 강남구 봉은사로 612 (삼성동),37.5142810376461,127.062146778337
000의원,"서울특별시 서초구 강남대로 509, 하늘안과 B동 7층 (반포동)",37.5076445712488,127.022491634375
가로수치과의원,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",37.4819176267219,126.929378426304
경희남촌한의원,서울특별시 강서구 까치산로 29 (화곡동),37.542512790831,126.843494308118
경희신창한의원,"서울특별시 강남구 선릉로126길 6, 4층 (삼성동)",37.5151558272905,127.042634357621
(의)가산의료재단광동한방병원,서울특별시 강남구 봉은사로 612 (삼성동),37.5142810376461,127.062146778337
가좌경희한의원,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",,
(의)미래의료재단리드림의원,"서울특별시 강남구 테헤란로 513 (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",37.5080031582356,127.058887185824
10월10일한의원,"서울특별시 서초구 양재천로 99-2, 유림빌딩 2층 (양재동)",37.4763877807578,127.040001794114
호정한의원,서울특별시 관악구 신원로 23 (신림동),37.4815767925511,126.928063159676
(의)성광의료재단차움건진의원,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",37.5077804973225,127.05820568843
21세기한의원,"서울특별시 중구 남대문시장길 73-3, 7층 (회현동1가)",37.5609891377777,126.980011086024
경희백두한의원,"서울특별시 강서구 양천로 492, 2층 202호 (등촌동, 길훈엔트런스빌)",37.560875023018,126.854626804611
97.7비엔에치의원,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",,
(의)열린의료재단영등포열린의원,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",37.5165301858178,126.90604309721
10년전당신의오늘의원,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",37.5236304940728,127.045733608353
강북권의료복지사회적협동조합명성의원,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",,
경희장원한의원,"서울특별시 강남구 논현로167길 17, 4층 (신사동)",37.5244875087715,127.026694816905
S앤비한의원,"서울특별시 송파구 가락로 169 (송파동,2층)",37.5040594299949,127.113879251929
가우디치과병원,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)",37.5078269000485,127.061059386179
24시열린의원,"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",37.5274862615567,126.871566699077
경희토정한의원,"서울특별시 강남구 삼성로 212, 2층 235호 (대치동, 은마아파트)",37.4996157705058,127.065915414443
(의)열린의료재단예인의원,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",,
21성형외과의원,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",37.5017358451233,127.025278490231
가산의원,"서울특별시 금천구 가산디지털1로 186, 4층 403호 (가산동, 제이플라츠)",37.4819130872905,126.881581110867
365MC의원,"서울특별시 노원구 동일로 1392, 5,6층 (상계동)",,
경희부부한의원,"서울특별시 강동구 양재대로 1478, 4층 (길동)",37.5376937056369,127.140227539906
365공릉차한의원,"서울특별시 노원구 동일로 1098, 지하1층, 지상3층 (공릉동)",37.6279664534118,127.072245353338
강남유닉플란트치과의원,"서울특별시 강남구 봉은사로 111, 801호 (논현동)",37.5051960660157,127.025700266315
365더튼튼의원,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",,
강남청아한의원,"서울특별시 강남구 남부순환로 2933, 203호 (대치동, 대치상가 )",37.4939284437756,127.061040832527
365다시재한방병원,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",37.4866427532962,127.142262855079
1밀리미터성형외과의원,"서울특별시 강남구 강남대로 446, 한웰빌딩 3층 (역삼동)",37.502390010064,127.025949353586
365매일한방병원,"서울특별시 동대문구 천호대로 3, 지하1,지상1~2층 (신설동)",,
강남그랜드치과의원,"서울특별시 서초구 사평대로 368, 중앙빌딩 5층 (서초동)",37.5037874382994,127.023517835232
365열린치과의원,"서울특별시 영등포구 신길로 167, 301호 (신길동)",37.507058335897,126.910748289958
365메트로의원,"서울특별시 강남구 학동로 지하102, 논현역 212호 (논현동)",37.5111988300765,127.021657861669
365청추나한의원,"서울특별시 은평구 은평로 170, 상현빌딩 2층 205호 (응암동)",37.6010893852841,126.926662375326
(의)열린의료재단오경식의원,"서울특별시 구로구 가마산로27길 14, 신원빌딩 2층 (구로동)",37.4977293058869,126.891852633222
강남하이텍의원,"서울특별시 송파구 송파대로 111, 205동 412,415호 (문정동, 파크하비오)",37.4796870553794,127.124979804141
경희삼성한의원,서울특별시 관악구 신림로 151 (신림동),37.4724764354564,126.932998971381
CBK최영균치과의원,"서울특별시 노원구 동일로180길 14, 공릉쇼핑센타 3층 (공릉동)",37.6219534132134,127.075326139356
고려MS영상의학과의원,"서울특별시 구로구 구로중앙로 68, 4층409,410호 (구로동,신인타워)",37.495860314768,126.888807280468
고려M영상의학과의원,"서울특별시 동대문구 천호대로 2, 이지빌딩 5층 (신설동)",37.5750052699082,127.023557307449
경희동서한의원,"서울특별시 강동구 구천면로 233, 한양메디스퀘어 6층층 (천호동)",37.5416637215789,127.130124238718
2080치과의원,"서울특별시 송파구 백제고분로 365, 지하1층 105호 (석촌동, 태문빌딩)",37.5052665438398,127.106298010481
호산소아청소년과의원,"서울특별시 영등포구 국제금융로7길 3, 210호 (여의도동)",37.5225634268582,126.931203052964
강남준성형외과의원,"서울특별시 서초구 강남대로 547, 2층 (반포동, 한국교과서연구재단빌딩)",37.5106448233466,127.021043763977
CNP차앤박피부과의원,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",37.5227019151559,126.924993896764
365문정사랑의원,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",37.4869810920009,127.127244307271
