no,address,latitude,longitude
서울반도체고등학교,서울특별시 동대문구 겸재로 21,37.5851530128648,127.069450940954
미림마이스터고등학교,서울특별시 관악구 호암로 546,37.4661018035835,126.931927855676
염광메디텍고등학교,서울특별시 노원구 월계로45가길 9,37.6302844506448,127.049264552091
서울웹툰애니메이션고등학교,서울특별시 서초구 과천대로 852-23,37.4694909673091,126.988245947982
솔샘고등학교,서울특별시 강북구 인수봉로 39,37.6237648476803,127.012068855446
서울동구고등학교,서울특별시 성북구 성북로8길 71,37.5941065881018,127.008215538987
서울정화고등학교,서울특별시 동대문구 홍릉로15길 50,37.586048641672,127.041070321981
선일빅데이터고등학교,서울특별시 은평구 갈현로29길 27,37.6203042094228,126.911993073275
대경생활과학고등학교,서울특별시 중구 매봉18길 111,37.5563732600255,127.016979156363
서울매그넷고등학교,서울특별시 금천구 탑골로10길 45,37.4519206711218,126.915824008297
광운인공지능고등학교,서울특별시 노원구 광운로1길 24,37.6192431974844,127.056540751938
서울인공지능고등학교,서울특별시 송파구 양산로 21,37.4916482412209,127.142085431868
용산철도고등학교,서울특별시 용산구 서빙고로 24,37.5243416742733,126.967358069696
서울동산고등학교,서울특별시 노원구 공릉로 257,37.6307779754887,127.073998366297
인덕과학기술고등학교,서울특별시 노원구 초안산로 12,37.6302514486494,127.054448642206
서울신정고등학교,서울특별시 강서구 등촌로13아길 20,37.5384117486135,126.85717155125
서일문화예술고등학교,서울특별시 종로구 지봉로17길 49,37.579364496797,127.012786339408
동명생활경영고등학교,서울특별시 은평구 통일로 793,37.6144187859471,126.92282044301
단국대학교부속소프트웨어고등학교,서울특별시 강남구 도곡로64길 21,37.4956174948977,127.057768228297
광신방송예술고등학교,서울특별시 관악구 광신길 141,37.4644762024804,126.925940565455
고명외식고등학교,서울특별시 성북구 북악산로 870,37.597674141541,127.019187491701
서울의료보건고등학교,서울특별시 중구 만리재로37길 30,37.5573014220873,126.966720436586
영락의료과학고등학교,서울특별시 관악구 청룡16길 25,37.476541242971,126.945416499639
풍문고등학교,서울특별시 강남구 자곡로 152,37.4713361652893,127.09996343408
금호고등학교,서울특별시 성동구 금호로 118,37.5536214995345,127.023433782844
도선고등학교,서울특별시 성동구 마장로 156,37.5668439494,127.026995731182
신진과학기술고등학교,서울특별시 은평구 은평로6길 16,37.59871384669,126.918836393178
선정국제관광고등학교,서울특별시 은평구 서오릉로20길 19,37.6187045126614,126.909031611714
계성고등학교,서울특별시 성북구 길음로 63,37.6074935996761,127.020183575106
서울항공비즈니스고등학교,서울특별시 강서구 방화대로34길 13,37.5692177821112,126.817040800626
서울컨벤션고등학교,서울특별시 강동구 동남로 964,37.5592845614915,127.158215928554
대일관광고등학교,서울특별시 양천구 신정이펜1로 11,37.5114137684075,126.834906714744
예림디자인고등학교,서울특별시 구로구 오리로21길 2,37.5003550678039,126.827683012604
서울도시과학기술고등학교,서울특별시 성북구 종암로 196,37.6078128032701,127.033044179358
성덕고등학교,서울특별시 강동구 구천면로 396,37.5498545397762,127.141541303447
가재울고등학교,서울특별시 서대문구 수색로 100-35,37.5743637013203,126.909529666957
휘봉고등학교,서울특별시 동대문구 한천로 290,37.5863723553049,127.068940658438
잠일고등학교,서울특별시 송파구 백제고분로 21,37.5145543759031,127.082367731592
구암고등학교,서울특별시 관악구 성현로 57,37.4925540129161,126.950219161074
서울대학교사범대학부설고등학교,서울특별시 성북구 월곡로 6,37.594723843967,127.038120392429
화곡보건경영고등학교,서울특별시 강서구 강서로45길 70,37.5484055955739,126.832657307166
영신간호비즈니스고등학교,서울특별시 노원구 중계로16나길 13,37.6525485061054,127.08350874514
홍익디자인고등학교,서울특별시 마포구 성미산로 111,37.563510635781,126.919166278819
송곡관광고등학교,서울특별시 중랑구 양원역로 67,37.6066890425626,127.105145451077
세그루패션디자인고등학교,서울특별시 도봉구 시루봉로 53,37.6562750160952,127.026703057445
삼각산고등학교,서울특별시 강북구 삼양로19길 40,37.6162857334914,127.020107911458
선사고등학교,서울특별시 강동구 고덕로25길 17,37.5563158751807,127.13577562154
신도고등학교,서울특별시 은평구 통일로 961,37.6291325083008,126.918748608965
동양고등학교,서울특별시 강서구 허준로 50,37.5690302418497,126.846888761424
서울금융고등학교,서울특별시 양천구 가로공원로61길 19,37.5376595496119,126.825914607519
은평메디텍고등학교,서울특별시 은평구 진관2로 57-57,37.6353465248875,126.929704776155
서울아이티고등학교,서울특별시 노원구 섬밭로 299,37.6424184430399,127.06244927375
문현고등학교,서울특별시 송파구 충민로 115,37.4813135489878,127.128762268141
강일고등학교,서울특별시 강동구 아리수로98길 40,37.5638280994729,127.177903473129
하나고등학교,서울특별시 은평구 연서로 535,37.6416375903135,126.936930247565
압구정고등학교,서울특별시 강남구 압구정로39길 20,37.5311339475008,127.032711640733
상일미디어고등학교,서울특별시 강동구 천호대로219길 61,37.5485874781342,127.170823536325
한세사이버보안고등학교,서울특별시 마포구 마포대로11길 44-80,37.5517396875369,126.952136379582
리라아트고등학교,서울특별시 중구 소파로2길,37.5576622746229,126.987778499953
서울공연예술고등학교,서울특별시 구로구 오리로22나길 16-26,37.4999306587647,126.832608691425
성동글로벌경영고등학교,서울특별시 중구 퇴계로 375,37.5658547150955,127.0135246262
서울문화고등학교,서울특별시 도봉구 마들로 598,37.6641314270343,127.047285814495
성수고등학교,서울특별시 성동구 서울숲길 18,37.5473418143935,127.038253431317
수명고등학교,서울특별시 강서구 수명로2길 15,37.5497618629354,126.824766247612
신도림고등학교,서울특별시 구로구 경인로67길 159,37.5140629233737,126.88208378322
진관고등학교,서울특별시 은평구 진관4로 26,37.643338571257,126.924382489033
은평고등학교,서울특별시 은평구 갈현로15길 47,37.6091520473272,126.905808015137
성암국제무역고등학교,서울특별시 강북구 도봉로29길 52,37.6204135324231,127.023905892641
서울방송고등학교,서울특별시 성동구 동호로5길 131,37.5477744781642,127.011037345163
경복비즈니스고등학교,서울특별시 강서구 화곡로 379,37.5580972589988,126.852670273321
대동세무고등학교,서울특별시 종로구 계동길 84-10,37.5815827310558,126.987951316186
한강미디어고등학교,서울특별시 영등포구 선유로55길 22,37.5393010496265,126.897109034358
구현고등학교,서울특별시 구로구 경인로53가길 17,37.5022832205782,126.874418207198
해성여자고등학교,서울특별시 동대문구 전농로20길 31,37.5818725994505,127.056976879173
서울국제고등학교,서울특별시 종로구 성균관로13길 40,37.5917911485864,126.995490680124
세종과학고등학교,서울특별시 구로구 오리로21길 79,37.4975693967975,126.827351739435
보인고등학교,서울특별시 송파구 오금로49길 18,37.4975692004431,127.139517839227
해성국제컨벤션고등학교,서울특별시 동대문구 전농로20길 31,37.5818725994505,127.056976879173
예일디자인고등학교,서울특별시 은평구 연서로 117,37.6109458980893,126.914792838283
덕수고등학교,서울특별시 송파구 위례북로 10,37.4855916213524,127.1470595726
상암고등학교,서울특별시 마포구 월드컵북로 445,37.5813414106022,126.883394497343
원묵고등학교,서울특별시 중랑구 숙선옹주로 82,37.6152323139525,127.085507784516
고려대학교사범대학부속고등학교,서울특별시 성북구 정릉로 161,37.6080476933587,127.002616144531
서울영상고등학교,서울특별시 양천구 목동로11길 46,37.5233044400227,126.860293524636
한양대학교사범대학부속고등학교,서울특별시 성동구 마조로 42,37.5619188387132,127.042324044658
효문고등학교,서울특별시 도봉구 우이천로 432,37.6526987118348,127.0184004627
신서고등학교,서울특별시 양천구 은행정로 42,37.5239143189255,126.860209579436
세현고등학교,서울특별시 강서구 허준로 227,37.5604306618095,126.863621128106
이화여자대학교병설미디어고등학교,서울특별시 중랑구 망우로73길 56,37.6031323992803,127.105332396209
동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47,37.5419293578309,127.086973061678
목동고등학교,서울특별시 양천구 목동동로2길 68,37.5092159752312,126.86019842592
서울디자인고등학교,서울특별시 마포구 백범로 139,37.5466750773343,126.948479002412
대진디자인고등학교,서울특별시 강남구 광평로39길 93,37.4904281491372,127.095979339516
서울관광고등학교,서울특별시 관악구 은천로15길 25,37.4878154195732,126.943760849751
서울로봇고등학교,서울특별시 강남구 광평로20길 63,37.480741415643,127.084154946756
성동공업고등학교,서울특별시 중구 다산로 290,37.5693631529572,127.017281730243
불암고등학교,서울특별시 노원구 중계로 155,37.6491585296421,127.080305829512
월계고등학교,서울특별시 노원구 초안산로5길 66,37.6316734128872,127.048388273455
선유고등학교,서울특별시 영등포구 선유로 227,37.5339016190568,126.894850696134
서서울생활과학고등학교,서울특별시 구로구 오리로 1355-10,37.5038291911751,126.828259957002
영동일고등학교,서울특별시 송파구 석촌호수로 93,37.5099746522433,127.089443727735
자운고등학교,서울특별시 도봉구 노해로69길 150,37.6590464061269,127.050690661699
신현고등학교,서울특별시 중랑구 봉화산로 174,37.6052490449627,127.092949934138
문정고등학교,서울특별시 송파구 송이로34길 62,37.4851784987927,127.126692082604
등촌고등학교,서울특별시 강서구 공항대로39길 115,37.5629452192593,126.845046119983
경일고등학교,서울특별시 성동구 성수일로 27,37.5438083798316,127.047853796815
서울문영여자고등학교,서울특별시 관악구 관악로 85,37.4729045674501,126.950918062755
염광고등학교,서울특별시 노원구 월계로45가길 9,37.6302844506448,127.049264552091
상명고등학교,서울특별시 노원구 덕릉로 553,37.649540794927,127.067701313205
미래산업과학고등학교,서울특별시 노원구 덕릉로82길 54,37.658779482984,127.07844069313
