no,address,latitude,longitude
서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,37.5825775765293,127.059988126984
서울여자간호대학교,서울 서대문구 홍제3동 서울여자간호대학,37.597029954835,126.956476606594
서울여자대학교,서울특별시 노원구 화랑로 621 서울여자대학교,37.6273815936787,127.091621159803
서일대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,,
성공회대학교,서울 구로구 항동 성공회대학교,,
성균관대학교,서울 종로구 명륜동3가 성균관대학교,37.5904163009275,126.997842699531
성신여자대학교,서울 성북구 동선동3가 성신여자대학교,37.5946591280857,127.019888420673
세종대학교,서울 광진구 군자동 세종대학교,,
숙명여자대학교,서울 용산구 청파로47길 100 숙명여자대학교,37.5454740835781,126.965074376341
숭실대학교,서울 동작구 상도동 511 숭실대학교,37.4964019323152,126.956588222367
숭의여자대학교,서울특별시 중구 소파로2길 10(예장동),37.5578530747432,126.987481605528
연세대학교,서울 서대문구 신촌동 연세대학교,,
이화여자대학교,서울 서대문구 대현동 11-1 이화여자대학교,37.5631740311778,126.947807434256
인덕대학교,서울 노원구 초안산로 12,37.6302514486494,127.054448642206
장로회신학대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,37.5486902335292,127.104573818024
적십자간호대학,서울 종로구 경교장길8,37.5674160717181,126.966305052144
중앙대학교 서울캠퍼스,서울 동작구 흑석로 84,37.5047267237807,126.953833907628
총신대학교,서울 동작구 사당동 산31-3,37.4908791135567,126.967182104111
추계예술대학교,서울 서대문구 북아현동 190-1 추계예술대학교,37.5627772025805,126.953331564253
한국방송통신대학교,서울 종로구 동숭동 한국방송통신대학교,,
한국성서대학교,서울 노원구 상계7동 한국성서대학교,37.6805128229615,127.089107001414
한국예술종합학교,서울 성북구 석관동 ,37.6129860183722,127.0614007785
한국외국어대학교,서울 동대문구 이문로 107,37.5982966771548,127.057942413722
한국체육대학교,서울 송파구 오륜동 한국체육대학교,,
한국폴리텍 I 대학 서울강서캠퍼스,서울 강서구 화곡동 산60-1,37.5504023690235,126.843553181181
한국폴리텍Ⅰ대학 서울정수캠퍼스,서울 용산구 보광로 73(보광동 238),37.5299749717494,126.996816950671
한성대학교,서울 성북구 삼선동3가 389 한성대학교,,
한양대학교,서울특별시 성동구 왕십리로 222 ,37.5545035492027,127.046611216789
한양여자대학교,서울 성동구 행당동 살곶이길 200,,
한영신학대학교,서울 구로구 경인로 290-42  한영신학대학교,37.4965810660171,126.8512499816
홍익대학교,서울특별시 마포구 와우산로 94(상수동),37.5525245968145,126.9250355422
가톨릭대학교,서울 서초구 반포동 505,37.5000795911196,127.005246798552
가톨릭대학교,서울 종로구 창경궁로 296-12(혜화동) ,37.5849009775207,127.004770664086
감리교신학대학교,서울 서대문구 냉천동 감리교신학대학,,
건국대학교,서울 광진구 화양동,37.5464762611364,127.071367614735
경기대학교,서울 서대문구 경기대로9길 24 경기대학교,37.5651946923921,126.962224150341
경희대학교,서울 동대문구 회기동 경희대학교,,
고려대학교,서울 성북구 안암동 고려대학교,,
광운대학교,서울특별시 노원구 월계동 447-1,37.6197033224113,127.059670655809
국민대학교,서울 성북구 정릉3동 국민대학교,,
국제예술대학,서울 강남구 논현동 79,37.5169057779708,127.031003951379
그리스도대학교,서울 강서구 화곡6동 그리스도대학교,,
덕성여자대학교,서울특별시 도봉구 삼양로 144길 33,37.6524704146763,127.015834944956
동국대학교,서울 중구 필동3가 동국대학교,,
동덕여자대학교,서울 성북구 하월곡2동 동덕여자대학교,,
동양미래대학교,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),37.4999957879198,126.868169656727
디지털서울문화예술대학교,서울시 서대문구 통일로 37길 60 (홍제동 318-18),37.5854437357557,126.943879163212
명지대학교 인문캠퍼스,서울 서대문구 남가좌동 50-3,37.5802275436823,126.923120664028
명지전문대학,서울 서대문구 가좌로 134 명지전문대학 ,37.5852831941405,126.925647822893
배화여자대학교,서울 종로구 필운대로 1길 34 배화여자대학교,37.5795440101952,126.967291871532
백석예술대학교,서울 서초구 방배로9길 23 백석예술대학교,37.4803713866046,126.996896954333
사이버한국외국어대학교,서울 동대문구 이문동 한국외국어대학교,,
삼육대학교,서울시 노원구 화랑로 815(공릉2동 26-21),37.643357369067,127.108850343184
삼육보건대학교,서울 동대문구 휘경2동,37.5901076994928,127.068614843098
상명대학교,서울 종로구 홍지동 상명대학교,,
서강대학교,서울 마포구 신수동 서강대학교,,
서경대학교,서울 성북구 정릉4동 서경대학교,,
서울과학기술대학교,서울 노원구 공릉로 232 (공릉동 172),37.6330789279387,127.076794742851
서울과학기술대학교,서울시 노원구 공릉로 232 서울과학기술대학교,37.6330789279387,127.076794742851
서울교육대학교,서울 서초구 서초중앙로 96(서초동 1650),37.4907404857731,127.015424537648
서울기독대학교,서울 은평구 갈현로 4길 26-2호,37.6011252013344,126.91306361612
서울대학교,서울 관악구 관악로 1 서울대학교,37.4662872666604,126.94815644252
서울디지털대학교,서울 마포구 도화동 560번지,37.5429684534294,126.947855469473
서울사이버대학교,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,37.629843917766,127.027123065417
