"지진ID","지진번호","구분","구분명","전송시각","진원시","위도 (단위:`N)","경도 (단위:`E)","규모 (리히터 기준)","진앙지","진앙지2","참고사항","수정사항","표출여부","확인시간","이벤트 파형 파일명","등록일자","지진번호(기상청)","발표차수(기상청)","내륙해역구분","남북한구분","진도분류","시도별 진도등급","행정구역별 진도등급 URL","격자별 진도등급 URL","진도 MAP 이미지 URL","진앙지도 이미지URL","행정구역별 진도등급 XML 파일명","격자별 진도등급 XML 파일명","진도 MAP 이미지명","진앙지도 이미지명","깊이 (단위:KM)"
"202400001108","","3","국외지진","202410130305","20241013024345","10.54","-86.13","6.2","코스타리카 라이베리아 서쪽 76km 해역 ","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-10-13 03:07:06.0","2024007150","","","","","","","","","","","","","","19"
"202400001095","","1","지진정보","202410071511","20241007150938","35.67","129.63","2.2","울산 북구 동북동쪽 26km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-10-07 15:12:06.0","2024006994","","","","","","","","","","","","","","20"
"202400001087","","1","지진정보","202410042213","20241004220858","36.08","125.42","2.1","전북 군산시 어청도 서쪽 50km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-10-04 22:14:07.0","2024006947","","","","","","","","","","","","","","12"
"202400001084","","1","지진정보","202410041411","20241004132330","41.27","129.11","2.3","북한 함경북도 길주 북북서쪽 39km 지역","","자연지진으로 분석됨","","Y","","","2024-10-04 14:12:07.0","2024006937","","","","","","","","","","","","","","10"
"202400001074","","3","국외지진","202410011850","20241001182805","-6","124.92","6.1","인도네시아 바우바우 동남동쪽 262km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-10-01 18:51:06.0","2024006862","","","","","","","","","","","","","","588"
"202400001073","","1","지진정보","202410011137","20241001113330","33.62","126.94","2.1","제주 제주시 동북동쪽 40km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-10-01 11:38:06.0","2024006843","","","","","","","","","","","","","","16"
"202400001060","","1","지진정보","202409281649","20240928164519","36.73","128.9","2.2","경북 안동시 북동쪽 24km 지역","","지진피해 없을 것으로 예상됨","","Y","","","2024-09-28 16:50:06.0","2024006796","","","","","","","","","","","","","","9"
"202400001055","","3","국외지진","202409270448","20240927041928","-17.19","66.55","6.3","모리셔스 포트루이스 동북동쪽 1009km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-09-27 04:50:06.0","2024006756","","","","","","","","","","","","","","10"
"202400001052","","1","지진정보","202409261139","20240926110050","40.32","126.86","2.9","북한 자강도 용림 남동쪽 26km 지역","","자연지진으로 분석됨","","Y","","","2024-09-26 11:40:07.0","2024006734","","","","","","","","","","","","","","27"
"202400001040","","3","국외지진","202409240836","20240924081400","31.4","140","5.9","일본 시즈오카현 하마마쓰시 남남동쪽 425km 해역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-09-24 08:38:06.0","2024006678","","","","","","","","","","","","","","10"
