"자치구","경제활동별","구분","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"서울시","총부가가치(기초가격)","산출액(①)","항목","","638493143","658563233","687344278","711352658","743542142","779294179","798839158","786902761","841756241",
"서울시","총부가가치(기초가격)","중간소비(②)","항목","","324699453","336271616","347548353","356146590","374353298","392751125","399251374","384286789","416767134",
"서울시","총부가가치(기초가격)","지역내 총부가가치(③=①-②)","항목","","313793690","322291617","339795925","355206068","369188844","386543054","399587784","402615972","424989107",
"서울시","총부가가치(기초가격)","고정자본소모(④)","항목","","49088387","50015611","53120706","54877434","57188219","60561047","63874047","66028402","70869292",
"서울시","총부가가치(기초가격)","순기타 생산세(⑤)","항목","","5175750","5467409","5892459","6081276","6412682","6360532","8420141","8995581","11322183",
"서울시","총부가가치(기초가격)","지역내 요소소득(⑥=③-④-⑤)","항목","","259529553","266808597","280782760","294247358","305587943","319621475","327293596","327591989","342797632",
"서울시","총부가가치(기초가격)","산출액(2015년 기준년 연쇄가격)","항목","","648746689","664401743.7","687344278","705443276","724725061.7","750444265","766015964","751984460.116213","779982955",
"서울시","총부가가치(기초가격)","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","326731214.7","330836647.9","339795925","349514260","356808619","369255882","380377317","379770753.040685","391384648",
"서울시","농·림·어업","산출액(①)","항목","","1077898","982346","849286","870797","898436","1002925","1031254","982223","1084571",
"서울시","농·림·어업","중간소비(②)","항목","","634561","591924","458062","505271","519114","603145","662363","593289","718621",
"서울시","농·림·어업","지역내 총부가가치(③=①-②)","항목","","443337","390422","391224","365526","379322","399780","368891","388934","365950",
"서울시","농·림·어업","고정자본소모(④)","항목","","74152","65046","68648","62648","56378","66745","67116","62442","61762",
"서울시","농·림·어업","순기타 생산세(⑤)","항목","","11913","7641","6970","-586","-8775","2853","17277","3715","1196",
"서울시","농·림·어업","지역내 요소소득(⑥=③-④-⑤)","항목","","357272","317735","315606","303464","331719","330182","284498","322777","302992",
"서울시","농·림·어업","산출액(2015년 기준년 연쇄가격)","항목","","1028636.459","979802.1411","849286","806682","789671.9565","893412","957812","887147.747062","989666",
"서울시","농·림·어업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","531722.7609","511028.9219","391224","389413","395666.6025","452836","432413","390333.824476","440369",
"서울시","광업","산출액(①)","항목","","235809","20787","10340","8365","6322","16857","15386","20591","47575",
"서울시","광업","중간소비(②)","항목","","112739","10314","5027","4168","3107","8982","8298","11450","34755",
"서울시","광업","지역내 총부가가치(③=①-②)","항목","","123070","10473","5313","4197","3215","7875","7088","9141","12820",
"서울시","광업","고정자본소모(④)","항목","","19019","1753","855","660","476","1312","1255","1713","9036",
"서울시","광업","순기타 생산세(⑤)","항목","","731","1175","559","711","796","541","168","187","253",
"서울시","광업","지역내 요소소득(⑥=③-④-⑤)","항목","","103320","7545","3899","2826","1943","6022","5665","7241","3531",
"서울시","광업","산출액(2015년 기준년 연쇄가격)","항목","","245213.7503","20928.68354","10340","8076","5824.567603","15016","13609","18553.535407","46026",
"서울시","광업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","137676.6003","11869.25107","5313","4037","2944.307124","7390","6665","9055.567632","17182",
