,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
소비자물가?총지수(2020=100),93.0,94.2,94.9,95.8,97.6,99.1,99.5,100.0,102.5,107.7,111.6
소비자물가상승률(%),1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1,3.6
식료품?·?비주류음료,0.9,0.3,1.6,2.3,3.4,2.8,0.0,4.4,5.9,5.9,5.5
주류?및?담배,1.7,-0.1,50.1,0.7,1.5,0.3,0.6,0.3,0.4,2.2,1.0
의류?및?신발,2.9,4.0,1.3,1.8,1.1,1.1,0.1,0.7,0.6,3.1,6.7
주택?·수도?·?전기?및?연료,3.5,2.9,-0.6,-0.8,1.7,0.7,1.2,0.5,1.6,5.5,5.0
가정용품?및?가사?서비스,0.3,2.1,2.6,1.6,1.1,2.3,2.1,0.0,1.9,4.8,5.4
보건,0.4,0.7,1.3,1.0,0.9,-0.1,0.5,1.5,-0.1,0.8,1.6
교통,-0.5,-1.6,-7.8,-2.2,3.6,2.4,-1.8,-1.8,6.3,9.7,-3.4
통신,-0.1,-0.1,-0.2,0.1,0.3,-0.9,-2.3,-2.1,-0.9,0.9,1.0
오락?및?문화,1.0,0.4,-0.5,1.8,0.1,0.5,-0.2,-1.0,0.4,2.8,3.7
교육,1.2,1.5,1.7,1.6,1.1,1.4,0.5,-2.1,0.9,1.3,2.0
음식?및?숙박,1.6,1.5,2.3,2.5,2.4,3.0,1.8,0.9,2.7,7.6,6.0
기타?상품?및?서비스,0.5,3.1,2.7,3.4,2.8,0.6,1.6,2.0,2.0,6.1,5.8
