line,name,legal_dong
5호선,강일,강일동
수도권 광역급행철도,수서,수서동
수도권 광역급행철도,삼성,대치동
수도권 광역급행철도,서울,봉래동2가
수도권 광역급행철도,연신내,대조동
김포골드라인,김포공항,방화동
우이신설선,신설동,신설동
우이신설선,보문,보문동2가
우이신설선,성신여대입구(돈암),동소문동5가
우이신설선,정릉,정릉동
우이신설선,북한산보국문,정릉동
우이신설선,솔샘,미아동
우이신설선,삼양사거리,미아동
우이신설선,삼양,미아동
우이신설선,화계,수유동
우이신설선,가오리,수유동
우이신설선,4.19민주묘지,우이동
우이신설선,솔밭공원,우이동
우이신설선,북한산우이,우이동
신림선,관악산(서울대),신림동
신림선,서울대벤처타운,신림동
신림선,서원,신림동
신림선,신림,신림동
신림선,당곡,봉천동
신림선,보라매병원,신대방동
신림선,보라매공원,신대방동
신림선,보라매,신길동
신림선,서울지방병무청,신길동
신림선,대방,신길동
신림선,샛강,여의도동
신분당선,청계산입구,신원동
신분당선,양재시민의숲(매헌),양재동
신분당선,양재(서초구청),양재동
신분당선,강남,서초동
신분당선(연장2),신논현,역삼동
신분당선(연장2),논현,논현동
신분당선(연장2),신사,논현동
공항철도1호선,김포공항,방화동
공항철도1호선,마곡나루,마곡동
공항철도1호선,디지털미디어시티,상암동
공항철도1호선,홍대입구,동교동
공항철도1호선,공덕,도화동
공항철도1호선,서울역,동자동
9호선(연장),중앙보훈병원,둔촌동
9호선(연장),둔촌오륜,둔촌동
9호선(연장),올림픽공원(한국체대),방이동
9호선(연장),한성백제,방이동
9호선(연장),송파나루,방이동
9호선(연장),석촌,석촌동
9호선(연장),석촌고분,석촌동
9호선(연장),삼전,잠실동
9호선(연장),종합운동장,잠실동
9호선(연장),봉은사,삼성동
9호선(연장),삼성중앙,삼성동
9호선(연장),선정릉,삼성동
9호선(연장),언주,역삼동
9호선,신논현,역삼동
9호선,사평,반포동
9호선,고속터미널,반포동
9호선,신반포,반포동
9호선,구반포,반포동
9호선,동작(현충원),동작동
9호선,흑석(중앙대입구),흑석동
9호선,노들,본동
9호선,노량진,노량진동
