NO,기존주소,도로명주소
1,서울특별시 구로구 신도림동 692,서울특별시 구로구 경인로 662
2,서울특별시 강서구 마곡동 748,서울특별시 강서구 마곡중앙1로 71
3,서울특별시 영등포구 양평동5가 76,서울특별시 영등포구 양평로24길 9
4,서울특별시 동작구 신대방동 710,서울특별시 동작구 여의대방로10길 14
5,서울특별시 중랑구 면목동 1502,서울특별시 중랑구 용마산로 252
6,서울특별시 중랑구 면목동 538,서울특별시 중랑구 면목로69길 16
7,서울특별시 노원구 상계동 647,서울특별시 노원구 한글비석로 530
8,서울특별시 성북구 길음동 1284,서울특별시 성북구 길음로 33
9,서울특별시 동대문구 용두동 792,서울특별시 동대문구 정릉천동로 36
10,서울특별시 동대문구 용두동 792,서울특별시 동대문구 정릉천동로 36
11,서울특별시 종로구 연건동 195-10,서울특별시 종로구 대학로 47
12,서울특별시 동대문구 이문동 225,서울특별시 동대문구 한천로63길 10
13,서울특별시 성북구 석관동 410,서울특별시 성북구 돌곶이로8길 22
14,서울특별시 서초구 서초동 1312-3,서울특별시 서초구 서운로 197
15,서울특별시 강남구 대치동 316,서울특별시 강남구 삼성로 212
16,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 24
17,서울특별시 서초구 서초동 1685-3,서울특별시 서초구 서초중앙로 188
18,서울특별시 서초구 서초동 1682,서울특별시 서초구 서초대로65길 13-10
19,서울특별시 동작구 상도동 531,서울특별시 동작구 상도로 346-1
20,서울특별시 동작구 상도동 904,서울특별시 동작구 양녕로 220
21,서울특별시 양천구 목동 729-5,서울특별시 양천구 목동중앙남로9길 25
22,서울특별시 송파구 신천동 17,서울특별시 송파구 올림픽로 435
23,서울특별시 송파구 방이동 89,서울특별시 송파구 양재대로 1218
24,서울특별시 도봉구 창동 821,서울특별시 도봉구 우이천로4라길 11-14
25,서울특별시 성동구 옥수동 428,서울특별시 성동구 독서당로 191
26,서울특별시 은평구 역촌동 36-37,서울특별시 은평구 연서로 28
27,서울특별시 광진구 광장동 566,서울특별시 광진구 아차산로 503-23
28,서울특별시 도봉구 쌍문동 721,서울특별시 도봉구 노해로45길 26
29,서울특별시 성동구 성수동1가 718,서울특별시 성동구 왕십리로 16
30,서울특별시 중랑구 신내동 397,서울특별시 중랑구 신내로 128
31,서울특별시 송파구 방이동 89,서울특별시 송파구 양재대로 1218
32,서울특별시 용산구 이촌동 402,서울특별시 용산구 이촌로87길 13
33,서울특별시 마포구 연남동 249-12,서울특별시 마포구 성미산로23길 4
34,서울특별시 동작구 상도동 531,서울특별시 동작구 상도로 346-1
35,서울특별시 강북구 수유동 180-31,서울특별시 강북구 한천로148길 26
36,서울특별시 관악구 봉천동 1730,서울특별시 관악구 청룡10길 45
37,서울특별시 강남구 대치동 902,서울특별시 강남구 삼성로 417
38,서울특별시 강동구 암사동 414-2,서울특별시 강동구 고덕로 131
39,서울특별시 서초구 서초동 1527-13,서울특별시 서초구 효령로45길 11
40,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
41,서울특별시 성동구 하왕십리동 1066,서울특별시 성동구 무학로 33
42,서울특별시 종로구 연건동 195-10,서울특별시 종로구 대학로 47
43,서울특별시 강남구 삼성동 50,서울특별시 강남구 삼성로111길 8
44,서울특별시 강남구 압구정동 456,서울특별시 강남구 압구정로 201
45,서울특별시 강남구 대치동 316,서울특별시 강남구 삼성로 212
46,서울특별시 노원구 중계동 360-15,서울특별시 노원구 노원로22길 71
47,서울특별시 중랑구 면목동 538,서울특별시 중랑구 면목로69길 16
48,서울특별시 강동구 명일동 42,서울특별시 강동구 고덕로62길 76
49,서울특별시 강서구 염창동 293,서울특별시 강서구 양천로73길 80
50,서울특별시 마포구 현석동 223,서울특별시 마포구 신수로2길 6
51,서울특별시 서대문구 홍제동 104-6,서울특별시 서대문구 통일로32길 14
52,서울특별시 영등포구 영등포동1가 113-1,서울특별시 영등포구 경인로 882
53,서울특별시 도봉구 창동 821,서울특별시 도봉구 우이천로4라길 11-14
54,서울특별시 강서구 공항동 Feb-61,서울특별시 강서구 공항대로2길 61
55,서울특별시 강남구 역삼동 656-30,서울특별시 강남구 언주로103길 16
56,서울특별시 마포구 상암동 1660,서울특별시 마포구 상암산로1길 92
57,서울특별시 동대문구 답십리동 1002,서울특별시 동대문구 서울시립대로 14
58,서울특별시 노원구 중계동 587,서울특별시 노원구 덕릉로71길 30
59,서울특별시 중구 황학동 819,서울특별시 중구 난계로 169
60,서울특별시 은평구 신사동 140-1,서울특별시 은평구 증산로15길 35-10
61,서울특별시 용산구 원효로4가 178,서울특별시 용산구 원효로 40
62,서울특별시 강서구 내발산동 673-2,서울특별시 강서구 우장산로8길 23
63,서울특별시 강서구 염창동 254-2,서울특별시 강서구 양천로75길 22-21
64,서울특별시 양천구 신월동 1069,서울특별시 양천구 오목로9길 11
65,서울특별시 강동구 고덕동 688,서울특별시 강동구 아리수로50길 50
66,서울특별시 양천구 신정동 312,서울특별시 양천구 목동서로 340
67,서울특별시 양천구 신정동 325,서울특별시 양천구 목동동로 10
68,서울특별시 도봉구 창동 373,서울특별시 도봉구 덕릉로 350
69,서울특별시 강서구 내발산동 751,서울특별시 강서구 수명로1길 110
70,서울특별시 은평구 녹번동 281,서울특별시 은평구 통일로 660
71,서울특별시 성동구 금호동2가 500-7,서울특별시 성동구 금호산9가길 52
72,서울특별시 성동구 응봉동 15,서울특별시 성동구 고산자로 160
73,서울특별시 성동구 옥수동 250,서울특별시 성동구 독서당로 218
74,서울특별시 성북구 돈암동 15-1,서울특별시 성북구 동소문로34길 24
75,서울특별시 성북구 정릉동 150-27,서울특별시 성북구 정릉로 262
76,서울특별시 송파구 문정동 150,서울특별시 송파구 중대로 24
77,서울특별시 성북구 정릉동 150-27,서울특별시 성북구 정릉로 262
78,서울특별시 강서구 공항동 Feb-61,서울특별시 강서구 공항대로2길 61
79,서울특별시 용산구 보광동 151,서울특별시 용산구 보광로5길 40
80,서울특별시 성북구 정릉동 150-27,서울특별시 성북구 정릉로 262
81,서울특별시 강서구 화곡동 1159,서울특별시 강서구 강서로 266
82,서울특별시 금천구 독산동 378-77,서울특별시 금천구 독산로58나길 56
83,서울특별시 강동구 강일동 114,서울특별시 강동구 아리수로93가길 110
84,서울특별시 송파구 풍납동 398-16,서울특별시 송파구 올림픽로45길 26
85,서울특별시 영등포구 당산동 376,서울특별시 영등포구 버드나루로 130
86,서울특별시 강남구 역삼동 656-30,서울특별시 강남구 언주로103길 16
87,서울특별시 송파구 신천동 17,서울특별시 송파구 올림픽로 435
88,서울특별시 강동구 상일동 490,서울특별시 강동구 상일로 74
89,서울특별시 강동구 강일동 674,서울특별시 강동구 아리수로93길 40
90,서울특별시 강남구 대치동 316,서울특별시 강남구 삼성로 212
91,서울특별시 마포구 공덕동 464,서울특별시 마포구 마포대로11길 50
92,서울특별시 중랑구 면목동 193-1,서울특별시 중랑구 중랑천로 20
93,서울특별시 서초구 서초동 1685,서울특별시 서초구 서초중앙로 200
94,서울특별시 구로구 오류동 336,서울특별시 구로구 경인로 248-14
95,서울특별시 강남구 역삼동 902,서울특별시 강남구 테헤란로44길 26
96,서울특별시 종로구 숭인동 1392,서울특별시 종로구 난계로29가길 17
97,서울특별시 마포구 공덕동 11-174,서울특별시 마포구 효창원로95길 35
98,서울특별시 강동구 명일동 332,서울특별시 강동구 상암로51길 54
99,서울특별시 도봉구 방학동 720-18,서울특별시 도봉구 마들로 646
100,서울특별시 노원구 상계동 730-2,서울특별시 노원구 동일로215길 48
101,서울특별시 강동구 강일동 674,서울특별시 강동구 아리수로93길 40
102,서울특별시 동작구 사당동 1160,서울특별시 동작구 사당로 90
103,서울특별시 중구 순화동 151,서울특별시 중구 칠패로 27
104,서울특별시 강서구 마곡동 748,서울특별시 강서구 마곡중앙1로 71
105,서울특별시 중구 충무로4가 120-3,서울특별시 중구 퇴계로 217
106,서울특별시 은평구 수색동 17-9,서울특별시 은평구 은평터널로2길 21
107,서울특별시 금천구 가산동 139-15,서울특별시 금천구 디지털로 207
108,서울특별시 성북구 하월곡동 88-510,서울특별시 성북구 동소문로46길 18
109,서울특별시 송파구 가락동 Jan-95,서울특별시 송파구 송파대로32길 15
110,서울특별시 강서구 마곡동 748,서울특별시 강서구 마곡중앙1로 71
111,서울특별시 노원구 공릉동 380-1,서울특별시 노원구 동일로195길 39
112,서울특별시 송파구 방이동 89,서울특별시 송파구 양재대로 1218
113,서울특별시 중구 신당동 845,서울특별시 중구 왕십리로39길 30
114,서울특별시 노원구 상계동 720,서울특별시 노원구 동일로 1390
115,서울특별시 강동구 강일동 717,서울특별시 강동구 고덕로 427
116,서울특별시 노원구 상계동 1283,서울특별시 노원구 노원로34길 34
117,서울특별시 양천구 목동 911,서울특별시 양천구 목동동로 430
118,서울특별시 서대문구 연희동 740,서울특별시 서대문구 연희로32길 48
119,서울특별시 관악구 신림동 1421-1,서울특별시 관악구 신림로66길 42
120,서울특별시 강서구 가양동 448-1,서울특별시 강서구 양천로 507
121,서울특별시 강북구 미아동 103-183,서울특별시 강북구 오패산로 176
122,서울특별시 마포구 공덕동 479,서울특별시 마포구 백범로31길 7
123,서울특별시 서초구 방배동 483-1,서울특별시 서초구 남부순환로289길 16
124,서울특별시 영등포구 신길동 4958,서울특별시 영등포구 여의대방로35가길 19
125,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
126,서울특별시 송파구 신천동 17,서울특별시 송파구 올림픽로 435
127,서울특별시 송파구 잠실동 19,서울특별시 송파구 올림픽로 99
128,서울특별시 송파구 잠실동 27,서울특별시 송파구 송파대로 567
129,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
130,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
131,서울특별시 중랑구 상봉동 113,서울특별시 중랑구 면목로 489
132,서울특별시 강남구 삼성동 117,서울특별시 강남구 봉은사로 474
133,서울특별시 강남구 청담동 05-25,서울특별시 강남구 도산대로 454
134,서울특별시 강서구 방화동 814,서울특별시 강서구 금낭화로 287-19
135,서울특별시 강서구 방화동 903,서울특별시 강서구 양천로10길 37
136,서울특별시 광진구 자양동 227-7,서울특별시 광진구 아차산로 262
137,서울특별시 마포구 공덕동 469,서울특별시 마포구 마포대로 173-15
138,서울특별시 강남구 대치동 316,서울특별시 강남구 삼성로 212
139,서울특별시 서초구 반포동 18-1,서울특별시 서초구 반포대로 275
140,서울특별시 서초구 반포동 20-43,서울특별시 서초구 신반포로 270
141,서울특별시 강서구 등촌동 695,서울특별시 강서구 공항대로39길 74
142,서울특별시 강동구 길동 387-5,서울특별시 강동구 천중로42길 70
143,서울특별시 동작구 흑석동 28,서울특별시 동작구 현충로 151
144,서울특별시 강동구 명일동 359,서울특별시 강동구 양재대로 1650
145,서울특별시 강서구 화곡동 915-33,서울특별시 강서구 곰달래로20길 31
146,서울특별시 관악구 봉천동 1718,서울특별시 관악구 은천로 93
147,서울특별시 양천구 신정동 976-3,서울특별시 양천구 은행정로7길 39-1
148,서울특별시 성북구 장위동 322,서울특별시 성북구 장월로 160
149,서울특별시 영등포구 양평동1가 147,서울특별시 영등포구 선유로25길 5
150,서울특별시 노원구 하계동 284,서울특별시 노원구 공릉로 351
151,서울특별시 강남구 압구정동 456,서울특별시 강남구 압구정로 201
152,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400
153,서울특별시 노원구 상계동 626,서울특별시 노원구 수락산로 174
154,서울특별시 강동구 길동 457,서울특별시 강동구 천호대로175길 10
155,서울특별시 마포구 중동 392,서울특별시 마포구 성암로 91
156,서울특별시 동작구 흑석동 335,서울특별시 동작구 흑석한강로 12
157,서울특별시 금천구 독산동 1155,서울특별시 금천구 시흥대로 291
158,서울특별시 강서구 화곡동 1165,서울특별시 강서구 우현로 67
159,서울특별시 성동구 행당동 344,서울특별시 성동구 독서당로 441
160,서울특별시 마포구 도화동 550,서울특별시 마포구 도화길 28
161,서울특별시 서대문구 북가좌동 481,서울특별시 서대문구 수색로 100
162,서울특별시 관악구 봉천동 1717,서울특별시 관악구 관악로30길 27
163,서울특별시 서초구 반포동 18-1,서울특별시 서초구 반포대로 275
164,서울특별시 중랑구 상봉동 501,서울특별시 중랑구 상봉로 131
165,서울특별시 동대문구 전농동 690,서울특별시 동대문구 사가정로 65
166,서울특별시 송파구 신천동 17,서울특별시 송파구 올림픽로 435
167,서울특별시 성동구 옥수동 100,서울특별시 성동구 한림말길 50
168,서울특별시 노원구 중계동 362-1,서울특별시 노원구 한글비석로5길 62
169,서울특별시 광진구 중곡동 292,서울특별시 광진구 용마산로 174
170,서울특별시 노원구 공릉동 737,서울특별시 노원구 공릉로46길 32
171,서울특별시 광진구 구의동 631-1,서울특별시 광진구 광나루로56길 29
172,서울특별시 도봉구 도봉동 641,서울특별시 도봉구 마들로 684-19
173,서울특별시 성북구 정릉동 239,서울특별시 성북구 솔샘로 120
174,서울특별시 양천구 신월동 1076,서울특별시 양천구 남부순환로83길 18
175,서울특별시 양천구 목동 929,서울특별시 양천구 목동서로2길 22
176,서울특별시 강북구 미아동 1369,서울특별시 강북구 오현로 45
177,서울특별시 강남구 대치동 316,서울특별시 강남구 삼성로 212
178,서울특별시 서대문구 남가좌동 376,서울특별시 서대문구 가재울로 45
179,서울특별시 서초구 방배동 754-1,서울특별시 서초구 동광로1길 112
180,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
181,서울특별시 금천구 가산동 140-9,서울특별시 금천구 가산로 147
182,서울특별시 서대문구 남가좌동 385,서울특별시 서대문구 가재울미래로 2
183,서울특별시 서대문구 남가좌동 377,서울특별시 서대문구 증가로 191
184,서울특별시 은평구 응암동 96-19,서울특별시 은평구 은평로 164
185,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
186,서울특별시 마포구 성산동 446,서울특별시 마포구 월드컵북로 235
187,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
188,서울특별시 서대문구 북아현동 1009,서울특별시 서대문구 이화여대8길 62
189,서울특별시 강동구 천호동 447-17,서울특별시 강동구 천호대로 1089
190,서울특별시 성북구 길음동 1286,서울특별시 성북구 길음로9길 50
191,서울특별시 동작구 노량진동 Jan-57,서울특별시 동작구 노량진로 140
192,서울특별시 동작구 사당동 43-71,서울특별시 동작구 동작대로35사길 2
193,서울특별시 성동구 행당동 346,서울특별시 성동구 행당로 82
194,서울특별시 강동구 명일동 257,서울특별시 강동구 상암로 251
195,서울특별시 송파구 가락동 Jan-95,서울특별시 송파구 송파대로32길 15
196,서울특별시 송파구 장지동 879,서울특별시 송파구 위례광장로 163
197,서울특별시 성북구 돈암동 609-1,서울특별시 성북구 성북로4길 52
198,서울특별시 송파구 장지동 901,서울특별시 송파구 위례광장로 121
199,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400
200,서울특별시 강서구 방화동 858,서울특별시 강서구 양천로18길 27
201,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
202,서울특별시 송파구 잠실동 44,서울특별시 송파구 잠실로 88
203,서울특별시 송파구 잠실동 35,서울특별시 송파구 잠실로 62
204,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
205,서울특별시 강남구 대치동 316,서울특별시 강남구 삼성로 212
206,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
207,서울특별시 도봉구 방학동 720-18,서울특별시 도봉구 마들로 646
208,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
209,서울특별시 송파구 가락동 913,서울특별시 송파구 송파대로 345
210,서울특별시 강남구 역삼동 720-25,서울특별시 강남구 언주로 427
211,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
212,서울특별시 동작구 본동 494,서울특별시 동작구 노량진로23가길 23
213,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
214,서울특별시 서초구 반포동 968,서울특별시 서초구 신반포로 32
215,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
216,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
217,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
218,서울특별시 강서구 화곡동 1159,서울특별시 강서구 강서로 266
219,서울특별시 서대문구 홍은동 453-2,서울특별시 서대문구 세검정로1길 35
220,서울특별시 서초구 서초동 1757,서울특별시 서초구 효령로 391
221,서울특별시 노원구 공릉동 749,서울특별시 노원구 동일로193길 7
222,서울특별시 성북구 하월곡동 230,서울특별시 성북구 종암로 167
223,서울특별시 도봉구 창동 451,서울특별시 도봉구 덕릉로60바길 21
224,서울특별시 동대문구 이문동 225,서울특별시 동대문구 한천로63길 10
225,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
226,서울특별시 노원구 월계동 18,서울특별시 노원구 마들로 31
227,서울특별시 노원구 월계동 18,서울특별시 노원구 마들로 31
228,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
229,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
230,서울특별시 광진구 화양동 23-5,서울특별시 광진구 동일로 174
231,서울특별시 중구 신당동 840,서울특별시 중구 다산로36길 109
