NO,contract_date,apt_name,exclusive_area_m2,floor,construction_year,latitude,longitude,price_man_won
2023_00001,2023-12-31,신내6대주,49.77,6,1996,37.6141017641988,127.091034702557,49000
2023_00002,2023-12-31,래미안월곡,59.754,2,2006,37.6099470914336,127.036913604861,68500
2023_00003,2023-12-31,화랑대디오베이션,59.9883,7,2021,37.6202886019719,127.082162209943,59900
2023_00004,2023-12-31,극동,84.92,13,1995,37.6024550886221,126.951392730744,50000
2023_00005,2023-12-31,삼익대청아파트,60.0,8,1992,37.4956264931259,127.077191033018,162500
2023_00006,2023-12-31,(685-103),61.67,3,2005,37.492866446657,126.934131338844,31900
2023_00007,2023-12-31,동부(105동~106동),59.58,10,1999,37.4975377727092,126.848288967665,46500
2023_00008,2023-12-31,래미안에스티움,84.97,14,2017,37.5004196071802,126.911544544308,138000
2023_00009,2023-12-31,e편한세상상도노빌리티,84.9704,15,2018,37.5049818982281,126.946788478219,147500
2023_00010,2023-12-31,블루힐하우스,84.54,2,1999,37.5118200914235,127.006237310492,182000
2023_00011,2023-12-31,역삼래미안,59.53,17,2005,37.4981263526043,127.050691041401,182000
2023_00012,2023-12-30,흑석한강푸르지오,84.98,10,2012,37.5040994188129,126.966284444741,132000
2023_00013,2023-12-30,독산오르페움타워,37.806,6,2020,37.4728402666863,126.901161544745,32000
2023_00014,2023-12-30,래미안대치팰리스,84.98,18,2015,37.4934361918055,127.057697682666,323000
2023_00015,2023-12-30,아크로리버뷰신반포,78.5,12,2018,37.5145189166529,127.006995721647,340000
2023_00016,2023-12-30,래미안로이파크,84.98,18,2018,37.4877957329993,126.973472134901,145000
2023_00017,2023-12-30,신동아5,114.68,17,1998,37.4910414805382,126.977148222194,125000
2023_00018,2023-12-30,흑석한강센트레빌Ⅱ,84.99,4,2012,37.5031656177406,126.958890979647,135000
2023_00019,2023-12-30,리센츠,27.68,10,2008,37.516733284228,127.089889095677,113000
2023_00020,2023-12-30,파크리오,84.9,31,2008,37.5213592954462,127.104971745978,198000
2023_00021,2023-12-30,흑석한강푸르지오,84.98,10,2012,37.5040994188129,126.966284444741,132000
2023_00022,2023-12-30,삼성청담공원아파트,107.22,11,1999,37.5230042633715,127.050463180352,210000
2023_00023,2023-12-30,영등포아트자이,120.038,22,2014,37.5103949442095,126.900176553265,135000
2023_00024,2023-12-30,남서울힐스테이트,59.87,19,2014,37.4479033151811,126.900722652942,66500
2023_00025,2023-12-30,보라매경남아너스빌,84.79,22,2005,37.4947116756868,126.90897844388,94000
2023_00026,2023-12-30,보라매경남아너스빌,84.79,21,2005,37.4947116756868,126.90897844388,92000
2023_00027,2023-12-30,삼성청담공원아파트,107.22,11,1999,37.5230042633715,127.050463180352,210000
2023_00028,2023-12-30,우방,59.91,11,2002,37.4490734382987,126.913658594513,46200
2023_00029,2023-12-30,대우디오빌,25.89,12,2004,37.4864868587499,127.033537582361,25700
2023_00030,2023-12-30,당산삼성래미안4차,115.78,8,2003,37.5329312320335,126.902834034778,167000
2023_00031,2023-12-30,관악드림(동아),102.0,12,2003,37.4898474387668,126.952985510916,87000
2023_00032,2023-12-30,하버라인3단지,74.87,8,2019,37.4789423906036,126.824571211875,74000
2023_00033,2023-12-30,신동아,104.7,11,1993,37.5101470412624,126.951490881181,105300
2023_00034,2023-12-30,서초그랑자이,119.41,10,2021,37.4893225494193,127.024591003338,375000
2023_00035,2023-12-30,남서울힐스테이트,84.786,8,2014,37.4479033151811,126.900722652942,90000
2023_00036,2023-12-30,남서울건영2,61.14,3,1989,37.4496340433581,126.910501928991,47200
2023_00037,2023-12-30,남서울힐스테이트,84.677,1,2014,37.4479033151811,126.900722652942,79000
2023_00038,2023-12-30,영등포푸르지오,79.777,11,2002,37.5117542837524,126.902325704642,101000
2023_00039,2023-12-30,영등포푸르지오,73.133,7,2002,37.5117542837524,126.902325704642,97300
2023_00040,2023-12-30,잠실엘스,84.97,17,2008,37.5151252476966,127.078130036923,223000
2023_00041,2023-12-30,인현상가/신성아파트,52.1,6,1968,37.563546252348,126.995814962096,34000
2023_00042,2023-12-30,삼전솔하임2차,16.67,9,2012,37.5723925579397,127.016735679084,10800
2023_00043,2023-12-30,래미안장위퍼스트하이,59.99,14,2020,37.6212990641092,127.051847478882,84000
2023_00044,2023-12-30,동익미라벨,84.59,11,1987,37.6507961246108,127.025136742052,47500
2023_00045,2023-12-30,삼성,59.76,10,1996,37.5664842722046,127.040276642646,80000
2023_00046,2023-12-30,삼성,84.93,15,1996,37.5664842722046,127.040276642646,100000
2023_00047,2023-12-30,쌍용,59.99,21,2000,37.6007507501532,127.068769452719,63000
2023_00048,2023-12-30,용마한신,59.22,1,1990,37.5808368956261,127.095052598876,49000
2023_00049,2023-12-30,월곡래미안루나밸리,59.98,3,2007,37.6002340166717,127.042651944006,70700
2023_00050,2023-12-30,우방아파트,59.98,5,2001,37.6105429131678,127.055357426852,51000
2023_00051,2023-12-30,동일하이빌뉴시티,133.74,26,2011,37.6050587642973,127.030990445726,125000
2023_00052,2023-12-30,건영2차,74.25,2,1996,37.6013911865577,127.096099061687,57500
2023_00053,2023-12-30,길음뉴타운8단지(래미안),59.99,26,2010,37.6050832927232,127.022078590713,81000
