NO,latitude,longitude,address
2022_00001,37.50812307,126.888213,서울특별시 구로구 경인로 662
2022_00002,37.55690832,126.8178746,서울특별시 강서구 마곡중앙1로 71
2022_00003,37.54028033,126.8917458,서울특별시 영등포구 양평로24길 9
2022_00004,37.49632776,126.9139635,서울특별시 동작구 여의대방로10길 14
2022_00005,37.575176,127.0892225,서울특별시 중랑구 용마산로 252
2022_00006,37.58725262,127.0863442,서울특별시 중랑구 면목로69길 16
2022_00007,37.66693298,127.0591649,서울특별시 노원구 한글비석로 530
2022_00008,37.60508329,127.0220786,서울특별시 성북구 길음로 33
2022_00009,37.57547229,127.0371123,서울특별시 동대문구 정릉천동로 36
2022_00010,37.57547229,127.0371123,서울특별시 동대문구 정릉천동로 36
2022_00011,37.57546396,127.0018417,서울특별시 종로구 대학로 47
2022_00012,37.6049031,127.0637064,서울특별시 동대문구 한천로63길 10
2022_00013,37.60652448,127.0622612,서울특별시 성북구 돌곶이로8길 22
2022_00014,37.49948267,127.0208201,서울특별시 서초구 서운로 197
2022_00015,37.49961577,127.0659154,서울특별시 강남구 삼성로 212
2022_00016,37.48812575,127.1110591,서울특별시 송파구 중대로 24
2022_00017,37.49735041,127.013538,서울특별시 서초구 서초중앙로 188
2022_00018,37.49742848,127.0191506,서울특별시 서초구 서초대로65길 13-10
2022_00019,37.49678998,126.9516675,서울특별시 동작구 상도로 346-1
2022_00020,37.50069236,126.9455364,서울특별시 동작구 양녕로 220
2022_00021,37.53783529,126.8650617,서울특별시 양천구 목동중앙남로9길 25
2022_00022,37.5213593,127.1049717,서울특별시 송파구 올림픽로 435
2022_00023,37.51669099,127.1377124,서울특별시 송파구 양재대로 1218
2022_00024,37.63304517,127.0422797,서울특별시 도봉구 우이천로4라길 11-14
2022_00025,37.54459287,127.0119843,서울특별시 성동구 독서당로 191
2022_00026,37.60159593,126.9162426,서울특별시 은평구 연서로 28
2022_00027,37.5431621,127.0956083,서울특별시 광진구 아차산로 503-23
2022_00028,37.6509017,127.0268558,서울특별시 도봉구 노해로45길 26
2022_00029,37.53925787,127.0446715,서울특별시 성동구 왕십리로 16
2022_00030,37.60894053,127.0978091,서울특별시 중랑구 신내로 128
2022_00031,37.51669099,127.1377124,서울특별시 송파구 양재대로 1218
2022_00032,37.51899266,126.9776769,서울특별시 용산구 이촌로87길 13
2022_00033,37.56374955,126.9217919,서울특별시 마포구 성미산로23길 4
2022_00034,37.49678998,126.9516675,서울특별시 동작구 상도로 346-1
2022_00035,37.64311016,127.0248645,서울특별시 강북구 한천로148길 26
2022_00036,37.47723093,126.9430557,서울특별시 관악구 청룡10길 45
2022_00037,37.50459597,127.057495,서울특별시 강남구 삼성로 417
2022_00038,37.55516675,127.1438388,서울특별시 강동구 고덕로 131
2022_00039,37.4841868,127.0084942,서울특별시 서초구 효령로45길 11
2022_00040,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00041,37.56916416,127.0263479,서울특별시 성동구 무학로 33
2022_00042,37.57546396,127.0018417,서울특별시 종로구 대학로 47
2022_00043,37.51473151,127.0517391,서울특별시 강남구 삼성로111길 8
2022_00044,37.53153417,127.0292731,서울특별시 강남구 압구정로 201
2022_00045,37.49961577,127.0659154,서울특별시 강남구 삼성로 212
2022_00046,37.64855942,127.0758816,서울특별시 노원구 노원로22길 71
2022_00047,37.58725262,127.0863442,서울특별시 중랑구 면목로69길 16
2022_00048,37.55084401,127.1515673,서울특별시 강동구 고덕로62길 76
2022_00049,37.55415856,126.8743473,서울특별시 강서구 양천로73길 80
2022_00050,37.54202998,126.9344792,서울특별시 마포구 신수로2길 6
2022_00051,37.58512385,126.9493962,서울특별시 서대문구 통일로32길 14
2022_00052,37.5175214,126.9107121,서울특별시 영등포구 경인로 882
2022_00053,37.63304517,127.0422797,서울특별시 도봉구 우이천로4라길 11-14
2022_00054,37.55870622,126.808901,서울특별시 강서구 공항대로2길 61
2022_00055,37.50666001,127.0386458,서울특별시 강남구 언주로103길 16
2022_00056,37.58275639,126.8820988,서울특별시 마포구 상암산로1길 92
2022_00057,37.57207425,127.0472735,서울특별시 동대문구 서울시립대로 14
2022_00058,37.6508593,127.0696948,서울특별시 노원구 덕릉로71길 30
2022_00059,37.56657481,127.0232614,서울특별시 중구 난계로 169
2022_00060,37.58951522,126.9077405,서울특별시 은평구 증산로15길 35-10
2022_00061,37.53391601,126.9493026,서울특별시 용산구 원효로 40
2022_00062,37.55333939,126.8414232,서울특별시 강서구 우장산로8길 23
2022_00063,37.55068828,126.8764812,서울특별시 강서구 양천로75길 22-21
2022_00064,37.52311629,126.8429869,서울특별시 양천구 오목로9길 11
2022_00065,37.55768646,127.1485777,서울특별시 강동구 아리수로50길 50
2022_00066,37.51942468,126.8640382,서울특별시 양천구 목동서로 340
2022_00067,37.50775811,126.86131,서울특별시 양천구 목동동로 10
2022_00068,37.64462722,127.0470777,서울특별시 도봉구 덕릉로 350
2022_00069,37.55185777,126.8247079,서울특별시 강서구 수명로1길 110
2022_00070,37.60590087,126.9361429,서울특별시 은평구 통일로 660
2022_00071,37.55256534,127.0189486,서울특별시 성동구 금호산9가길 52
2022_00072,37.55433983,127.0348842,서울특별시 성동구 고산자로 160
2022_00073,37.54262944,127.0155544,서울특별시 성동구 독서당로 218
2022_00074,37.59899275,127.0231395,서울특별시 성북구 동소문로34길 24
2022_00075,37.60368603,127.0121869,서울특별시 성북구 정릉로 262
2022_00076,37.48812575,127.1110591,서울특별시 송파구 중대로 24
2022_00077,37.60368603,127.0121869,서울특별시 성북구 정릉로 262
2022_00078,37.55870622,126.808901,서울특별시 강서구 공항대로2길 61
2022_00079,37.52406939,127.0012827,서울특별시 용산구 보광로5길 40
2022_00080,37.60368603,127.0121869,서울특별시 성북구 정릉로 262
2022_00081,37.54826258,126.8409806,서울특별시 강서구 강서로 266
2022_00082,37.4655208,126.9066755,서울특별시 금천구 독산로58나길 56
2022_00083,37.57378021,127.1731798,서울특별시 강동구 아리수로93가길 110
2022_00084,37.52764501,127.1156221,서울특별시 송파구 올림픽로45길 26
2022_00085,37.5305725,126.9080121,서울특별시 영등포구 버드나루로 130
2022_00086,37.50666001,127.0386458,서울특별시 강남구 언주로103길 16
2022_00087,37.5213593,127.1049717,서울특별시 송파구 올림픽로 435
2022_00088,37.55136837,127.1747855,서울특별시 강동구 상일로 74
2022_00089,37.56551714,127.1751066,서울특별시 강동구 아리수로93길 40
2022_00090,37.49961577,127.0659154,서울특별시 강남구 삼성로 212
2022_00091,37.55158802,126.9511914,서울특별시 마포구 마포대로11길 50
2022_00092,37.58648311,127.0758051,서울특별시 중랑구 중랑천로 20
2022_00093,37.50045322,127.0156476,서울특별시 서초구 서초중앙로 200
2022_00094,37.49755995,126.8478786,서울특별시 구로구 경인로 248-14
2022_00095,37.50120577,127.0457171,서울특별시 강남구 테헤란로44길 26
2022_00096,37.5737207,127.0227235,서울특별시 종로구 난계로29가길 17
2022_00097,37.5484887,126.9617667,서울특별시 마포구 효창원로95길 35
2022_00098,37.54936336,127.1465279,서울특별시 강동구 상암로51길 54
2022_00099,37.66761985,127.0468178,서울특별시 도봉구 마들로 646
2022_00100,37.65082219,127.0561606,서울특별시 노원구 동일로215길 48
2022_00101,37.56551714,127.1751066,서울특별시 강동구 아리수로93길 40
2022_00102,37.49233562,126.9624478,서울특별시 동작구 사당로 90
2022_00103,37.5602669,126.9720353,서울특별시 중구 칠패로 27
2022_00104,37.55690832,126.8178746,서울특별시 강서구 마곡중앙1로 71
2022_00105,37.56242271,126.9959312,서울특별시 중구 퇴계로 217
2022_00106,37.5830187,126.8996663,서울특별시 은평구 은평터널로2길 21
2022_00107,37.47906481,126.8890973,서울특별시 금천구 디지털로 207
2022_00108,37.60685831,127.0299382,서울특별시 성북구 동소문로46길 18
2022_00109,37.49658241,127.1157571,서울특별시 송파구 송파대로32길 15
2022_00110,37.55690832,126.8178746,서울특별시 강서구 마곡중앙1로 71
2022_00111,37.6268026,127.0697857,서울특별시 노원구 동일로195길 39
2022_00112,37.51669099,127.1377124,서울특별시 송파구 양재대로 1218
2022_00113,37.56370985,127.0257085,서울특별시 중구 왕십리로39길 30
2022_00114,37.65271807,127.0615199,서울특별시 노원구 동일로 1390
2022_00115,37.55879729,127.1731822,서울특별시 강동구 고덕로 427
2022_00116,37.6603301,127.0658717,서울특별시 노원구 노원로34길 34
2022_00117,37.53520568,126.8843932,서울특별시 양천구 목동동로 430
2022_00118,37.57586005,126.937263,서울특별시 서대문구 연희로32길 48
2022_00119,37.48557684,126.9320471,서울특별시 관악구 신림로66길 42
2022_00120,37.5603957,126.8573626,서울특별시 강서구 양천로 507
2022_00121,37.61742842,127.0333929,서울특별시 강북구 오패산로 176
2022_00122,37.54525459,126.9487508,서울특별시 마포구 백범로31길 7
2022_00123,,,서울특별시 서초구 남부순환로289길 16
2022_00124,37.50373534,126.9174406,서울특별시 영등포구 여의대방로35가길 19
2022_00125,37.55617709,127.1591765,서울특별시 강동구 고덕로 333
2022_00126,37.5213593,127.1049717,서울특별시 송파구 올림픽로 435
2022_00127,37.51512525,127.07813,서울특별시 송파구 올림픽로 99
2022_00128,37.51313818,127.0930487,서울특별시 송파구 송파대로 567
2022_00129,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00130,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00131,37.59550573,127.085324,서울특별시 중랑구 면목로 489
2022_00132,37.51236724,127.0520266,서울특별시 강남구 봉은사로 474
2022_00133,37.52368479,127.0460563,서울특별시 강남구 도산대로 454
2022_00134,37.57680385,126.8102869,서울특별시 강서구 금낭화로 287-19
2022_00135,37.57107844,126.8091413,서울특별시 강서구 양천로10길 37
2022_00136,37.53700164,127.0729628,서울특별시 광진구 아차산로 262
2022_00137,37.55119072,126.9521743,서울특별시 마포구 마포대로 173-15
2022_00138,37.49961577,127.0659154,서울특별시 강남구 삼성로 212
2022_00139,37.50239027,126.9959653,서울특별시 서초구 반포대로 275
2022_00140,37.50786022,127.011582,서울특별시 서초구 신반포로 270
2022_00141,37.56121729,126.8446357,서울특별시 강서구 공항대로39길 74
2022_00142,37.53795207,127.1382752,서울특별시 강동구 천중로42길 70
2022_00143,37.50677865,126.9689342,서울특별시 동작구 현충로 151
2022_00144,37.55437885,127.1459442,서울특별시 강동구 양재대로 1650
2022_00145,37.52892091,126.8429998,서울특별시 강서구 곰달래로20길 31
2022_00146,37.48735272,126.9454289,서울특별시 관악구 은천로 93
2022_00147,37.52183358,126.855084,서울특별시 양천구 은행정로7길 39-1
2022_00148,37.61792081,127.0522544,서울특별시 성북구 장월로 160
2022_00149,37.52361047,126.8895151,서울특별시 영등포구 선유로25길 5
2022_00150,37.63812512,127.06791,서울특별시 노원구 공릉로 351
2022_00151,37.53153417,127.0292731,서울특별시 강남구 압구정로 201
2022_00152,37.57081055,127.0214639,서울특별시 중구 청계천로 400
2022_00153,37.67044183,127.0597306,서울특별시 노원구 수락산로 174
2022_00154,37.53510852,127.1369564,서울특별시 강동구 천호대로175길 10
2022_00155,37.57131634,126.9066164,서울특별시 마포구 성암로 91
2022_00156,37.50517984,126.9645125,서울특별시 동작구 흑석한강로 12
2022_00157,37.45995605,126.8966992,서울특별시 금천구 시흥대로 291
2022_00158,37.54754619,126.8372075,서울특별시 강서구 우현로 67
2022_00159,37.55410505,127.0319539,서울특별시 성동구 독서당로 441
2022_00160,37.53960372,126.9496292,서울특별시 마포구 도화길 28
2022_00161,37.57473348,126.9079161,서울특별시 서대문구 수색로 100
2022_00162,37.48896635,126.9606433,서울특별시 관악구 관악로30길 27
2022_00163,37.50239027,126.9959653,서울특별시 서초구 반포대로 275
2022_00164,37.59740662,127.0921776,서울특별시 중랑구 상봉로 131
2022_00165,37.57550604,127.0496959,서울특별시 동대문구 사가정로 65
2022_00166,37.5213593,127.1049717,서울특별시 송파구 올림픽로 435
2022_00167,37.53993979,127.0168229,서울특별시 성동구 한림말길 50
2022_00168,37.64637161,127.0749598,서울특별시 노원구 한글비석로5길 62
2022_00169,37.56856841,127.0863818,서울특별시 광진구 용마산로 174
2022_00170,37.6263561,127.0821837,서울특별시 노원구 공릉로46길 32
2022_00171,37.53695769,127.0965367,서울특별시 광진구 광나루로56길 29
2022_00172,37.67521459,127.048765,서울특별시 도봉구 마들로 684-19
2022_00173,37.61662482,127.0097831,서울특별시 성북구 솔샘로 120
2022_00174,37.51561814,126.8419047,서울특별시 양천구 남부순환로83길 18
2022_00175,37.54162782,126.8826427,서울특별시 양천구 목동서로2길 22
2022_00176,37.61693703,127.0346104,서울특별시 강북구 오현로 45
2022_00177,37.49961577,127.0659154,서울특별시 강남구 삼성로 212
2022_00178,37.57566143,126.9208517,서울특별시 서대문구 가재울로 45
2022_00179,37.49699665,126.9847253,서울특별시 서초구 동광로1길 112
2022_00180,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00181,37.47837546,126.890453,서울특별시 금천구 가산로 147
2022_00182,37.57440199,126.9179078,서울특별시 서대문구 가재울미래로 2
2022_00183,37.57849683,126.9173923,서울특별시 서대문구 증가로 191
2022_00184,37.60102459,126.9259145,서울특별시 은평구 은평로 164
2022_00185,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00186,37.56970041,126.9014174,서울특별시 마포구 월드컵북로 235
2022_00187,37.55617709,127.1591765,서울특별시 강동구 고덕로 333
2022_00188,37.55972348,126.9507324,서울특별시 서대문구 이화여대8길 62
2022_00189,37.53660488,127.1331156,서울특별시 강동구 천호대로 1089
2022_00190,37.60269651,127.020948,서울특별시 성북구 길음로9길 50
2022_00191,37.51275688,126.9417006,서울특별시 동작구 노량진로 140
2022_00192,37.49250008,126.979379,서울특별시 동작구 동작대로35사길 2
2022_00193,37.55480888,127.0273997,서울특별시 성동구 행당로 82
2022_00194,37.54859381,127.1506883,서울특별시 강동구 상암로 251
2022_00195,37.49658241,127.1157571,서울특별시 송파구 송파대로32길 15
2022_00196,37.4796684,127.1393228,서울특별시 송파구 위례광장로 163
2022_00197,37.59447253,127.012706,서울특별시 성북구 성북로4길 52
2022_00198,37.47686504,127.1382163,서울특별시 송파구 위례광장로 121
2022_00199,37.57081055,127.0214639,서울특별시 중구 청계천로 400
2022_00200,37.57242037,126.8135318,서울특별시 강서구 양천로18길 27
2022_00201,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00202,37.50753416,127.0932143,서울특별시 송파구 잠실로 88
2022_00203,37.50801505,127.0902835,서울특별시 송파구 잠실로 62
2022_00204,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00205,37.49961577,127.0659154,서울특별시 강남구 삼성로 212
2022_00206,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00207,37.66761985,127.0468178,서울특별시 도봉구 마들로 646
2022_00208,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00209,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00210,37.50147648,127.0426905,서울특별시 강남구 언주로 427
2022_00211,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00212,37.51330347,126.9517825,서울특별시 동작구 노량진로23가길 23
2022_00213,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00214,,,서울특별시 서초구 신반포로 32
2022_00215,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00216,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00217,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00218,37.54826258,126.8409806,서울특별시 강서구 강서로 266
2022_00219,37.59363936,126.9439082,서울특별시 서대문구 세검정로1길 35
2022_00220,37.48932255,127.024591,서울특별시 서초구 효령로 391
2022_00221,37.62566341,127.0719953,서울특별시 노원구 동일로193길 7
2022_00222,37.60505876,127.0309904,서울특별시 성북구 종암로 167
2022_00223,37.63901231,127.0409746,서울특별시 도봉구 덕릉로60바길 21
2022_00224,37.6049031,127.0637064,서울특별시 동대문구 한천로63길 10
2022_00225,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00226,37.61872537,127.0670846,서울특별시 노원구 마들로 31
2022_00227,37.61872537,127.0670846,서울특별시 노원구 마들로 31
2022_00228,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00229,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00230,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00231,37.56050413,127.0229704,서울특별시 중구 다산로36길 109
2022_00232,37.6163432,126.9257576,서울특별시 은평구 통일로 796
2022_00233,37.61004419,127.0162235,서울특별시 성북구 길음로13길 39
2022_00234,37.54706801,127.0718499,서울특별시 광진구 능동로19길 35
2022_00235,37.57547229,127.0371123,서울특별시 동대문구 정릉천동로 36
2022_00236,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00237,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00238,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00239,37.49575182,127.0751013,서울특별시 강남구 개포로109길 9
2022_00240,37.49575182,127.0751013,서울특별시 강남구 개포로109길 9
2022_00241,37.56777026,127.0584014,서울특별시 동대문구 답십리로56길 105
2022_00242,37.57334306,127.0552818,서울특별시 동대문구 답십리로 141
2022_00243,37.66438374,127.074879,서울특별시 노원구 수락산로 12
2022_00244,37.49685709,127.1177114,서울특별시 송파구 송파대로32길 8
2022_00245,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00246,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00247,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00248,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00249,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00250,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00251,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00252,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00253,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00254,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00255,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00256,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00257,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00258,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00259,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00260,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00261,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00262,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00263,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00264,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00265,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00266,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00267,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00268,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00269,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00270,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00271,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00272,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00273,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00274,37.5213593,127.1049717,서울특별시 송파구 올림픽로 435
2022_00275,37.46005964,126.8930206,서울특별시 금천구 벚꽃로 40
2022_00276,37.54752699,127.0674139,서울특별시 광진구 동일로 174
2022_00277,37.57242037,126.8135318,서울특별시 강서구 양천로18길 27
2022_00278,37.44082801,126.9072713,서울특별시 금천구 시흥대로22길 52
2022_00279,37.57414888,126.8159156,서울특별시 강서구 양천로23길 8
2022_00280,37.55619853,127.0388365,서울특별시 성동구 고산자로2길 65
2022_00281,37.49961577,127.0659154,서울특별시 강남구 삼성로 212
2022_00282,37.50127439,126.8890219,서울특별시 구로구 구로중앙로28다길 16
2022_00283,37.5287757,126.9028077,서울특별시 영등포구 영신로 237
2022_00284,37.4833434,126.9274775,서울특별시 관악구 관천로 38
2022_00285,37.55627884,127.0181523,서울특별시 성동구 금호로 173
2022_00286,37.53567059,126.8962148,서울특별시 영등포구 양평로17길 9
2022_00287,37.65643619,127.0661237,서울특별시 노원구 노해로85길 10-55
2022_00288,37.53668353,126.9728087,서울특별시 용산구 한강대로 205
2022_00289,37.52349568,126.831465,서울특별시 양천구 지양로 101
2022_00290,37.66689676,127.0560392,서울특별시 노원구 동일로227길 25
2022_00291,37.48964491,126.8510807,서울특별시 구로구 개봉로15길 91
2022_00292,37.49761457,127.1025318,서울특별시 송파구 송파대로 345
2022_00293,37.57105683,127.0751137,서울특별시 동대문구 장안벚꽃로 107
2022_00294,37.6504273,127.059109,서울특별시 노원구 동일로215길 23
2022_00295,37.60054476,126.9171631,서울특별시 은평구 연서로2길 8-4
2022_00296,37.61049908,127.0163726,서울특별시 성북구 길음로 119
2022_00297,37.48444021,127.0679602,서울특별시 강남구 삼성로 11
2022_00298,37.57368905,127.0803696,서울특별시 중랑구 동일로 476
2022_00299,37.54618158,127.0746642,서울특별시 광진구 광나루로20길 17
2022_00300,37.51945424,127.0478328,서울특별시 강남구 삼성로133길 20
2022_00301,37.58760688,126.9433911,서울특별시 서대문구 통일로39길 25
2022_00302,37.51498201,126.8651323,서울특별시 양천구 목동동로 100
2022_00303,37.50801505,127.0902835,서울특별시 송파구 잠실로 62
2022_00304,37.55617709,127.1591765,서울특별시 강동구 고덕로 333
2022_00305,37.59538382,127.0854532,서울특별시 중랑구 면목로 487
2022_00306,37.62766279,127.0696059,서울특별시 노원구 동일로191가길 59
2022_00307,37.5132492,126.9213645,서울특별시 영등포구 영등포로 390
