gu,dong,gu_dong,Id,bus_stop_name
종로구,궁정동,종로구_궁정동,,
중구,남산동3가,중구_남산동3가,,
중구,남학동,중구_남학동,,
종로구,내수동,종로구_내수동,,
중구,다동,중구_다동,,
종로구,당주동,종로구_당주동,,
종로구,도렴동,종로구_도렴동,,
종로구,돈의동,종로구_돈의동,,
성북구,동선동3가,성북구_동선동3가,,
중구,명동1가,중구_명동1가,,
중구,명동2가,중구_명동2가,,
중구,무교동,중구_무교동,,
중구,무학동,중구_무학동,,
성북구,보문동6가,성북구_보문동6가,,
종로구,봉익동,종로구_봉익동,,
중구,북창동,중구_북창동,,
중구,산림동,중구_산림동,,
종로구,수송동,종로구_수송동,,
중구,수하동,중구_수하동,,
종로구,신교동,종로구_신교동,,
성북구,안암동3가,성북구_안암동3가,,
영등포구,양평동,영등포구_양평동,,
중구,오장동,중구_오장동,,
중구,의주로2가,중구_의주로2가,,
종로구,익선동,종로구_익선동,,
중구,인현동2가,중구_인현동2가,,
중구,장교동,중구_장교동,,
중구,저동2가,중구_저동2가,,
종로구,적선동,종로구_적선동,,
용산구,주성동,용산구_주성동,,
중구,주자동,중구_주자동,,
종로구,청진동,종로구_청진동,,
중구,초동,중구_초동,,
중구,충무로3가,중구_충무로3가,,
중구,필동3가,중구_필동3가,,
종로구,필운동,종로구_필운동,,
서대문구,합동,서대문구_합동,,
중구,회현동3가,중구_회현동3가,,
종로구,훈정동,종로구_훈정동,,
