station_name,line,city,gu,dong,gu_dong
개포동,분당선,서울특별시,강남구,개포동,강남구_개포동
구룡,분당선,서울특별시,강남구,개포동,강남구_개포동
대모산입구,분당선,서울특별시,강남구,개포동,강남구_개포동
신사,3호선,서울특별시,강남구,논현동,강남구_논현동
강남구청,7호선,서울특별시,강남구,논현동,강남구_논현동
논현,7호선,서울특별시,강남구,논현동,강남구_논현동
학동,7호선,서울특별시,강남구,논현동,강남구_논현동
강남구청,분당선,서울특별시,강남구,논현동,강남구_논현동
선정릉,분당선,서울특별시,강남구,논현동,강남구_논현동
논현,신분당선(연장2),서울특별시,강남구,논현동,강남구_논현동
신사,신분당선(연장2),서울특별시,강남구,논현동,강남구_논현동
삼성(무역센터),2호선,서울특별시,강남구,대치동,강남구_대치동
대치,3호선,서울특별시,강남구,대치동,강남구_대치동
도곡,3호선,서울특별시,강남구,대치동,강남구_대치동
학여울,3호선,서울특별시,강남구,대치동,강남구_대치동
삼성,수도권 광역급행철도,서울특별시,강남구,대치동,강남구_대치동
매봉,3호선,서울특별시,강남구,도곡동,강남구_도곡동
도곡,분당선,서울특별시,강남구,도곡동,강남구_도곡동
한티,분당선,서울특별시,강남구,도곡동,강남구_도곡동
청담,7호선,서울특별시,강남구,삼성동,강남구_삼성동
봉은사,9호선(연장),서울특별시,강남구,삼성동,강남구_삼성동
삼성중앙,9호선(연장),서울특별시,강남구,삼성동,강남구_삼성동
선정릉,9호선(연장),서울특별시,강남구,삼성동,강남구_삼성동
수서,3호선,서울특별시,강남구,수서동,강남구_수서동
수서,분당선,서울특별시,강남구,수서동,강남구_수서동
수서,수도권 광역급행철도,서울특별시,강남구,수서동,강남구_수서동
압구정,3호선,서울특별시,강남구,신사동,강남구_신사동
압구정로데오,분당선,서울특별시,강남구,신사동,강남구_신사동
강남,2호선,서울특별시,강남구,역삼동,강남구_역삼동
선릉,2호선,서울특별시,강남구,역삼동,강남구_역삼동
역삼,2호선,서울특별시,강남구,역삼동,강남구_역삼동
신논현,9호선,서울특별시,강남구,역삼동,강남구_역삼동
언주,9호선(연장),서울특별시,강남구,역삼동,강남구_역삼동
선릉,분당선,서울특별시,강남구,역삼동,강남구_역삼동
신논현,신분당선(연장2),서울특별시,강남구,역삼동,강남구_역삼동
대청,3호선,서울특별시,강남구,일원동,강남구_일원동
일원,3호선,서울특별시,강남구,일원동,강남구_일원동
강일,5호선,서울특별시,강동구,강일동,강동구_강일동
강일,5호선,서울특별시,강동구,강일동,강동구_강일동
길동,5호선,서울특별시,강동구,길동,강동구_길동
둔촌동,5호선,서울특별시,강동구,둔촌동,강동구_둔촌동
둔촌오륜,9호선(연장),서울특별시,강동구,둔촌동,강동구_둔촌동
중앙보훈병원,9호선(연장),서울특별시,강동구,둔촌동,강동구_둔촌동
고덕,5호선,서울특별시,강동구,명일동,강동구_명일동
명일,5호선,서울특별시,강동구,명일동,강동구_명일동
상일동,5호선,서울특별시,강동구,상일동,강동구_상일동
강동,5호선,서울특별시,강동구,성내동,강동구_성내동
강동구청,8호선,서울특별시,강동구,성내동,강동구_성내동
천호(풍납토성),8호선,서울특별시,강동구,성내동,강동구_성내동
암사,8호선,서울특별시,강동구,암사동,강동구_암사동
암사역사공원,8호선,서울특별시,강동구,암사동,강동구_암사동
