no,address,latitude,longitude
가좌경희한의원,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",37.5708154693004,126.912242300278
97.7비엔에치의원,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",37.5321910730443,127.01081363685
강북권의료복지사회적협동조합명성의원,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",37.6723293932498,127.043686692857
(의)열린의료재단예인의원,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",37.5672306850318,126.842911175186
365MC의원,"서울특별시 노원구 동일로 1392, 5,6층 (상계동)",37.6530537904638,127.061324512782
365더튼튼의원,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",37.4956274938619,126.842328273392
365매일한방병원,"서울특별시 동대문구 천호대로 3, 지하1,지상1~2층 (신설동)",37.5753483891625,127.024344406042
365서울원탑치과의원,"서울특별시 강서구 강서로 179, 3,4층 302, 401, 402호 (화곡동)",37.5423627575293,126.839322200876
365어울림한의원,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",37.5443896345677,126.846078953518
경희무릅나무한의원,"서울특별시 강남구 테헤란로63길 9, 201,202,203호 (삼성동)",37.5057545438943,127.050042038224
365엠씨람스의원,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",37.5169636928472,126.906654619916
88플러스내과산부인과의원,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",37.6270616730914,127.07710132272
고려튼튼정형외과의원,"서울특별시 종로구 송월길 99, 2226,2227,2228호 (홍파동, 경희궁자이)",37.5708610950823,126.962352257162
고운이치과의원,서울특별시 관악구 은천로 114 (봉천동),37.4870086666449,126.945511778459
김세진소아청소년과의원,"서울특별시 성북구 화랑로 76, 지상1층 109-1,110호 (하월곡동, 코업스타클래스)",37.6018277386458,127.040463515854
강남밴스의원,"서울특별시 서초구 강남대로 411, 12~13층 (서초동)",37.4991603195447,127.026510850477
가산퍼스트정형외과의원,"서울특별시 금천구 벚꽃로36길 30, 207~214호 (가산동)",37.480670830247,126.885102981454
구명진이비인후과의원,"서울특별시 서초구 신반포로19길 10, H동 13-2호 (반포동, 반포아파트상가)",37.5052125097947,126.996659439627
가야치과병원,"서울특별시 서초구 방배로 177, 4~6층 (방배동)",37.4892992684081,126.99228929275
가양삼성정형외과의원,"서울특별시 강서구 양천로 490, 401, 501호 (등촌동)",37.5610683674353,126.854472954474
훼미리365의원,"서울특별시 용산구 장문로 96, 2,3층 (보광동)",37.5259703316629,127.000126138627
나은치과의원,"서울특별시 성북구 인촌로13길 8, 5층 (안암동2가,창해빌딩)",37.5893588153919,127.016702905651
내경한의원,서울특별시 광진구 능동로36길 19  (능동),37.5545877813238,127.08395012023
가톨릭정형외과의원,"서울특별시 중랑구 면목로 357, 3,4층 (면목동, 삼일빌딩)",37.5839916838426,127.08813658984
김기환치과의원,"서울특별시 서초구 신반포로 31, 1동 301호 (반포동, 반포아파트상가)",37.5055867976556,127.002955591295
(의)열린의료재단혜화열린의원,"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",37.5941562838985,127.01821856847
강남라인한의원,"서울특별시 서초구 서초대로77길 3, 1304,1305호 (서초동, 아라타워)",37.4980609129976,127.026504807476
365엠씨의원,"서울특별시 마포구 신촌로 92, 7,10층 (노고산동)",37.5551779164582,126.935680306816
김인섭의원,"서울특별시 서초구 서리풀길 1, 2층 (서초동)",37.4881784011172,127.020605412843
강남연세정형외과의원,"서울특별시 송파구 문정로 1, 201~205호 (문정동, 문정역 마에스트로)",37.486359565989,127.123087289463
나우미구강악안면외과치과의원,"서울특별시 강남구 강남대로 600, 401호 (논현동, 동신빌딩)",37.5262280049871,127.013953355824
늘치과의원,서울특별시 서초구 잠원로8길 25 (잠원동),37.5144225513405,127.011141470954
강남초이스병원,"서울특별시 관악구 남부순환로 1796, -1,2~5층 (봉천동, 삼호빌딩)",37.4813226832698,126.949595277943
강남챔피언정형외과의원,"서울특별시 송파구 오금로 525, 2~6층 (거여동)",37.4930809781978,127.147126611127
대영의원,"서울특별시 서초구 신반포로 45, K동 10호 (반포동, 반포동 반포상가)",,
강남호랑이마취통증의학과의원,"서울특별시 성동구 독서당로 300, 3,4층 (금호동4가)",37.5479592488437,127.022119217387
동원한의원,"서울특별시 성북구 동소문로3길 11, (동소문동1가)",37.5912261655301,127.008790418126
동민치과의원,"서울특별시 송파구 석촌호수로 60, 3층 (잠실동)",37.5070865386766,127.093671928493
라렌의원,"서울특별시 마포구 월드컵북로 396, B1005,1006,1007호 (상암동, 누리꿈스퀘어)",37.5794283422818,126.889782954548
강남지인병원,"서울특별시 강남구 언주로 631, 강남웨딩홀 지하2,2~6층 (논현동)",37.5128025510754,127.03506818071
디아트치과의원,"서울특별시 서대문구 연세로 39, 2,3,4층 (창천동)",37.5591704174651,126.936684281057
강남제이비뇨기과의원,"서울특별시 강남구 학동로 203, 4,5층 (논현동)",37.514422743867,127.031186730157
리워크병원,"서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)",37.4987777513439,127.120406004335
리드힐병원,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",37.5999863665584,126.91645570925
