no,address,latitude,longitude
가좌경희한의원,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",,
97.7비엔에치의원,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",,
강북권의료복지사회적협동조합명성의원,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",,
(의)열린의료재단예인의원,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",,
365MC의원,"서울특별시 노원구 동일로 1392, 5,6층 (상계동)",,
365더튼튼의원,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",,
365매일한방병원,"서울특별시 동대문구 천호대로 3, 지하1,지상1~2층 (신설동)",,
365서울원탑치과의원,"서울특별시 강서구 강서로 179, 3,4층 302, 401, 402호 (화곡동)",,
365어울림한의원,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",,
경희무릅나무한의원,"서울특별시 강남구 테헤란로63길 9, 201,202,203호 (삼성동)",,
365엠씨람스의원,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",,
88플러스내과산부인과의원,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",,
고려튼튼정형외과의원,"서울특별시 종로구 송월길 99, 2226,2227,2228호 (홍파동, 경희궁자이)",,
고운이치과의원,서울특별시 관악구 은천로 114 (봉천동),,
김세진소아청소년과의원,"서울특별시 성북구 화랑로 76, 지상1층 109-1,110호 (하월곡동, 코업스타클래스)",,
강남밴스의원,"서울특별시 서초구 강남대로 411, 12~13층 (서초동)",,
가산퍼스트정형외과의원,"서울특별시 금천구 벚꽃로36길 30, 207~214호 (가산동)",,
구명진이비인후과의원,"서울특별시 서초구 신반포로19길 10, H동 13-2호 (반포동, 반포아파트상가)",,
가야치과병원,"서울특별시 서초구 방배로 177, 4~6층 (방배동)",,
가양삼성정형외과의원,"서울특별시 강서구 양천로 490, 401, 501호 (등촌동)",,
훼미리365의원,"서울특별시 용산구 장문로 96, 2,3층 (보광동)",,
나은치과의원,"서울특별시 성북구 인촌로13길 8, 5층 (안암동2가,창해빌딩)",,
내경한의원,서울특별시 광진구 능동로36길 19  (능동),,
가톨릭정형외과의원,"서울특별시 중랑구 면목로 357, 3,4층 (면목동, 삼일빌딩)",,
