dong,id_8
청운효자동,11010720
사직동,11010530
삼청동,11010540
부암동,11010550
평창동,11010560
무악동,11010570
교남동,11010580
가회동,11010600
종로1.2.3.4가동,11010610
종로5.6가동,11010630
이화동,11010640
혜화동,11010730
창신1동,11010670
창신2동,11010680
창신3동,11010690
숭인1동,11010700
숭인2동,11010710
소공동,11020520
회현동,11020540
명동,11020550
필동,11020570
장충동,11020580
광희동,11020590
을지로동,11020600
신당동,11020690
다산동,11020700
약수동,11020710
청구동,11020720
신당5동,11020650
동화동,11020730
황학동,11020670
중림동,11020680
후암동,11030510
용산2가동,11030520
남영동,11030530
청파동,11030710
원효로1동,11030720
원효로2동,11030570
효창동,11030580
용문동,11030590
한강로동,11030730
이촌1동,11030630
이촌2동,11030640
이태원1동,11030650
이태원2동,11030660
한남동,11030740
서빙고동,11030690
보광동,11030700
왕십리2동,11040520
왕십리도선동,11040710
마장동,11040540
사근동,11040550
행당1동,11040560
행당2동,11040570
응봉동,11040580
금호1가동,11040590
금호2.3가동,11040720
금호4가동,11040620
옥수동,11040730
성수1가1동,11040650
성수1가2동,11040660
성수2가1동,11040670
성수2가3동,11040680
송정동,11040690
용답동,11040700
화양동,11050530
군자동,11050540
중곡1동,11050550
중곡2동,11050560
중곡3동,11050570
중곡4동,11050580
능동,11050590
광장동,11050630
자양1동,11050640
자양2동,11050650
자양3동,11050660
자양4동,11050670
구의1동,11050600
구의2동,11050610
구의3동,11050620
용신동,11060810
제기동,11060820
전농1동,11060830
전농2동,11060840
답십리1동,11060910
답십리2동,11060860
장안1동,11060870
장안2동,11060880
청량리동,11060800
회기동,11060710
휘경1동,11060720
휘경2동,11060730
이문1동,11060890
이문2동,11060900
면목2동,11070520
면목4동,11070540
면목5동,11070550
면목본동,11070710
면목7동,11070570
면목3.8동,11070720
상봉1동,11070590
상봉2동,11070600
중화1동,11070610
중화2동,11070620
묵1동,11070640
묵2동,11070650
망우본동,11070730
망우3동,11070680
신내1동,11070690
신내2동,11070700
성북동,11080810
삼선동,11080820
동선동,11080830
돈암1동,11080580
돈암2동,11080590
안암동,11080600
보문동,11080610
정릉1동,11080620
정릉2동,11080630
정릉3동,11080640
정릉4동,11080650
길음1동,11080660
길음2동,11080680
종암동,11080840
월곡1동,11080710
월곡2동,11080720
