line,name,city_and_gu,dong
1호선,영등포,서울특별시 영등포구,영등포동
1호선,오류동,서울시 구로구,오류동
1호선,오산,경기도 오산시 오산동 603-116,
1호선,오산대,경기도 오산시 수청동 435-1,
1호선,온수,서울시 구로구,온수동
1호선,온양온천,충청남도 아산시 온천동 56-9  ,
1호선,외대앞,서울특별시 동대문구,이문동
1호선,용산,서울 용산구,한강로3가
1호선,월계,서울특별시 노원구,월계동
1호선,의왕,경기도 의왕시 삼동 191,
1호선,의정부,경기도 의정부시 의정부동 168-54,
1호선,인천,인천광역시 중구,
1호선,제물포,인천광역시 미추홀구,숭의동
1호선,주안,인천광역시 남구,주안동
1호선,중동,경기도 부천시 송내동 632번지,
1호선,지행,동두천시 지행동 481-2,
1호선,직산,충청남도 천안시 서북구,직산읍
1호선,진위,경기도 평택시 진위면 하북리 139-3,
1호선,창동,서울특별시 도봉구,마들로
1호선,천안,충청남도 천안시 대흥동 57-1,
1호선,탕정,충남 아산시 탕정면 한들물빛6로 11,
1호선,평택,경기도 평택시 평택동 185-568,
1호선,평택지제,지제동 141-1,
1호선,회룡,경기도 의정부시 호원동 50-5(회룡역),
1호선,회기,서울특별시 동대문구,휘경동
1호선,연천,경기도 연천군 차탄리 34-33,
1호선,전곡,경기도 연천군 전곡읍 전곡리 33-10,
1호선,청산,경기도 연천군 청산면 초성리 170-1,
1호선,화서,경기도 수원시 팔달구,화서동
1호선,덕정,경기도 양주시 덕정동 350-14,
1호선,가능,경기도 의정부시 가능동 197-1,
1호선,가산디지털단지,서울특별시 금천구,가산동
1호선,간석,인천광역시 남동구,간석4동
1호선,개봉,서울특별시 구로구,개보동
1호선,관악,경기도 안양시 만악구,석수동
1호선,광명,경기도 광명시 일직동 276-1,
1호선,광운대,노원구,월계동
1호선,구로,서울특별시 구로구,구로동
1호선,구일,서울시 구로구,구로1동
1호선,군포,경기도 군포시 당동 134-1,
1호선,금정,경기도 군포시 금정동 613 금정역,
1호선,금천구청,서울특별시 금천구,시흥대로
